"Percent Total","Element","Extension","Type","Domain","Owner","Owner Country","Owner Lineage"
"80.0","https://www.google-analytics.com/analytics.js","js","javascript","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet "
"70.0","https://www.google-analytics.com/r/collect","","","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet "
"60.0","https://stats.g.doubleclick.net/r/collect","","","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet "
"55.0","https://adservice.google.com/adsid/integrator.js","js","javascript","google.com","Google","US","Google > Alphabet "
"55.0","https://fonts.googleapis.com/css","","","googleapis.com","Google APIs","US","Google APIs > Google > Alphabet "
"50.0","https://certify.alexametrics.com/atrk.gif","gif","image","alexametrics.com","Alexa","US","Alexa > Amazon "
"50.0","https://www.googletagservices.com/activeview/js/current/osd.js","js","javascript","googletagservices.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet "
"45.0","https://d31qbv1cthcecs.cloudfront.net/atrk.js","js","javascript","cloudfront.net","Amazon Web Services","US","Amazon Web Services > Amazon "
"40.0","https://googleads.g.doubleclick.net/pagead/ads","","","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet "
"40.0","https://googleads.g.doubleclick.net/pagead/html/r20191015/r20190131/zrt_lookup.html","html","page_static","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet "
"40.0","https://pagead2.googlesyndication.com/pagead/js/r20191015/r20190131/show_ads_impl.js","js","javascript","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet "
"40.0","https://www.google.com/ads/ga-audiences","","","google.com","Google","US","Google > Alphabet "
"35.0","https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js","js","javascript","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet "
"35.0","https://www.facebook.com/tr/","","","facebook.com","Facebook","US","Facebook "
"30.0","https://googleads.g.doubleclick.net/pagead/drt/si","","","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet "
