"Percent Total","Element","Extension","Type","Domain","Owner","Owner Country","Owner Lineage"
"80.0","https://www.google-analytics.com/analytics.js","js","javascript","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet "
"55.0","https://adservice.google.com/adsid/integrator.js","js","javascript","google.com","Google","US","Google > Alphabet "
"50.0","https://www.googletagservices.com/activeview/js/current/osd.js","js","javascript","googletagservices.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet "
"45.0","https://d31qbv1cthcecs.cloudfront.net/atrk.js","js","javascript","cloudfront.net","Amazon Web Services","US","Amazon Web Services > Amazon "
"40.0","https://pagead2.googlesyndication.com/pagead/js/r20191015/r20190131/show_ads_impl.js","js","javascript","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet "
"35.0","https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js","js","javascript","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet "
"30.0","https://www.googletagmanager.com/gtm.js","js","javascript","googletagmanager.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet "
"25.0","https://cdn.ampproject.org/rtv/011910071804120/amp4ads-host-v0.js","js","javascript","ampproject.org","Unknown","",""
"25.0","https://cdn.ampproject.org/rtv/011910071804120/amp4ads-v0.js","js","javascript","ampproject.org","Unknown","",""
"25.0","https://cdn.ampproject.org/rtv/011910071804120/v0/amp-ad-exit-0.1.js","js","javascript","ampproject.org","Unknown","",""
"25.0","https://cdn.ampproject.org/rtv/011910071804120/v0/amp-analytics-0.1.js","js","javascript","ampproject.org","Unknown","",""
"25.0","https://cdn.ampproject.org/rtv/011910071804120/v0/amp-fit-text-0.1.js","js","javascript","ampproject.org","Unknown","",""
"25.0","https://cdn.ampproject.org/rtv/011910071804120/v0/amp-form-0.1.js","js","javascript","ampproject.org","Unknown","",""
"25.0","https://connect.facebook.net/en_US/fbevents.js","js","javascript","facebook.net","Facebook","US","Facebook "
"25.0","https://securepubads.g.doubleclick.net/gpt/pubads_impl_2019101401.js","js","javascript","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet "
"25.0","https://securepubads.g.doubleclick.net/gpt/pubads_impl_rendering_2019101401.js","js","javascript","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet "
"20.0","https://connect.facebook.net/en_US/sdk.js","js","javascript","facebook.net","Facebook","US","Facebook "
"20.0","https://www.googleadservices.com/pagead/conversion_async.js","js","javascript","googleadservices.com","AdSense","US","AdSense > Google > Alphabet "
"20.0","https://www.googletagservices.com/tag/js/gpt.js","js","javascript","googletagservices.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet "
"15.0","https://securepubads.g.doubleclick.net/tag/js/gpt.js","js","javascript","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet "
"15.0","https://ssl.google-analytics.com/ga.js","js","javascript","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet "
"15.0","https://t.effectivemeasure.net/tag.js","js","javascript","effectivemeasure.net","Narratiive","AU","Narratiive "
"15.0","https://www.googletagservices.com/activeview/js/current/osd_listener.js","js","javascript","googletagservices.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet "
"10.0","http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js","js","javascript","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet "
"10.0","https://adservice.google.com/adsid/integrator.sync.js","js","javascript","google.com","Google","US","Google > Alphabet "
"10.0","https://ajax.cloudflare.com/cdn-cgi/scripts/95c75768/cloudflare-static/rocket-loader.min.js","js","javascript","cloudflare.com","Cloudflare","US","Cloudflare "
"10.0","https://cdn.onesignal.com/sdks/OneSignalPageSDKES6.js","js","javascript","onesignal.com","Unknown","",""
"10.0","https://cdn.onesignal.com/sdks/OneSignalSDK.js","js","javascript","onesignal.com","Unknown","",""
"10.0","https://pagead2.googlesyndication.com/pagead/show_ads.js","js","javascript","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet "
"10.0","https://platform.twitter.com/oct.js","js","javascript","twitter.com","Twitter","US","Twitter "
"10.0","https://script.hotjar.com/modules.c8b73d293ba6e2f7c665.js","js","javascript","hotjar.com","Hotjar","MT","Hotjar "
"10.0","https://static.ads-twitter.com/oct.js","js","javascript","ads-twitter.com","Twitter","US","Twitter "
"10.0","https://static.criteo.net/js/ld/ld.js","js","javascript","criteo.net","Criteo","FR","Criteo "
"10.0","https://static.criteo.net/js/ld/publishertag.js","js","javascript","criteo.net","Criteo","FR","Criteo "
"10.0","https://za-ssl.effectivemeasure.net/em.js","js","javascript","effectivemeasure.net","Narratiive","AU","Narratiive "
"5.0","http://cdn.mxpnl.com/libs/mixpanel-2-latest.min.js","js","javascript","mxpnl.com","Unknown","",""
"5.0","http://cdn.sendpulse.com/js/push/4e3321a42fec88808636c4e5eb0f35b4_0.js","js","javascript","sendpulse.com","Unknown","",""
"5.0","http://code.jquery.com/jquery-1.8.3.min.js","js","javascript","jquery.com","jQuery Foundation","US","jQuery Foundation "
"5.0","http://elmogaz.com/sites/default/files/js/js_vSmhpx_T-AShyt_WMW5_TcwwxJP1imoVOa8jvwL_mxE.js+js_ERgMr3wNywXG7rXHyy2VtJKuWhUNf2NME2DWr59s8do.js+js_p1zh-ZyE76a1_tC9jQHocsi35kYNdz1PZSqTmJQdi2E.js.pagespeed.jc.mqy4GgsDRg.js","js","javascript","elmogaz.com","Unknown","",""
