"Percentage Pages Tracked","Owner","Owner Country","Owner Lineage"
"95.0","Alphabet","US","Alphabet "
"95.0","Google","US","Google > Alphabet "
"90.0","Google Analytics","US","Google Analytics > Google > Alphabet "
"85.0","Google Tag Manager","US","Google Tag Manager > Google > Alphabet "
"80.0","DoubleClick","US","DoubleClick > Google > Alphabet "
"75.0","AdSense","US","AdSense > Google > Alphabet "
"60.0","Amazon","US","Amazon "
"60.0","Google APIs","US","Google APIs > Google > Alphabet "
"55.0","Facebook","US","Facebook "
"50.0","Alexa","US","Alexa > Amazon "
"50.0","Amazon Web Services","US","Amazon Web Services > Amazon "
"20.0","Adobe Systems","US","Adobe Systems "
"20.0","Criteo","FR","Criteo "
"15.0","Adobe Audience Manager","US","Adobe Audience Manager > Adobe Systems "
"15.0","AppNexus","US","AppNexus "
"15.0","Cloudflare","US","Cloudflare "
"15.0","comScore","US","comScore "
"15.0","Narratiive","AU","Narratiive "
"15.0","ScorecardResearch","US","ScorecardResearch > comScore "
"15.0","Twitter","US","Twitter "
"10.0","Acxiom","US","Acxiom "
"10.0","Adobe Marketing Cloud","US","Adobe Marketing Cloud > Adobe Systems "
"10.0","Amazon Marketing Services","US","Amazon Marketing Services > Amazon "
"10.0","Chartbeat","US","Chartbeat "
"10.0","Hotjar","MT","Hotjar "
"10.0","Index Exchange","CA","Index Exchange "
"10.0","LiveRamp","US","LiveRamp > Acxiom "
"10.0","Optimizely","US","Optimizely "
"10.0","Oracle","US","Oracle "
"10.0","PubMatic","US","PubMatic "
"10.0","The Trade Desk","US","The Trade Desk "
"5.0","Accuweather","US","Accuweather "
"5.0","AddThis","US","AddThis > Oracle "
"5.0","AdForm","DK","AdForm "
"5.0","Amobee","US","Amobee > Singtel "
"5.0","Amplitude","US","Amplitude "
"5.0","Aol","US","Aol > Oath > Verizon "
"5.0","Automattic","US","Automattic "
"5.0","Beeswax","US","Beeswax "
"5.0","Bidswitch","UK","Bidswitch > IPONWEB "
"5.0","Blue Kai","US","Blue Kai > Oracle "
"5.0","Conversant Media","US","Conversant Media "
"5.0","Cxense","NO","Cxense "
"5.0","DataXu","US","DataXu "
"5.0","Disqus","US","Disqus > Zeta Global "
"5.0","Dotomi","US","Dotomi > Conversant Media "
"5.0","Dynadmic","FR","Dynadmic "
"5.0","exelate","US","exelate > Nielsen Online "
"5.0","Eyeview","US","Eyeview "
"5.0","Gravatar","US","Gravatar > Automattic "
"5.0","Gumgum","US","Gumgum "
"5.0","Innovid","US","Innovid "
"5.0","IPONWEB","UK","IPONWEB "
"5.0","jQuery Foundation","US","jQuery Foundation "
"5.0","jsDelivr","US","jsDelivr > Prospect One "
"5.0","Krux Digital","US","Krux Digital > Salesforce "
"5.0","Loopme","UK","Loopme "
"5.0","Mailchimp","US","Mailchimp "
"5.0","Marimedia","IL","Marimedia "
"5.0","Media Math","US","Media Math "
"5.0","Microsoft","US","Microsoft "
"5.0","Moat","US","Moat > Oracle "
"5.0","New Relic","US","New Relic "
"5.0","Nielsen Online","US","Nielsen Online "
"5.0","Oath","US","Oath > Verizon "
"5.0","ONE by Aol","US","ONE by Aol > Aol > Oath > Verizon "
"5.0","OpenX","US","OpenX "
"5.0","Outbrain","US","Outbrain "
"5.0","Prospect One","US","Prospect One "
"5.0","PulsePoint","US","PulsePoint "
"5.0","Quantcast","US","Quantcast "
"5.0","Rocketfuel","US","Rocketfuel > Sizmek > Vector Capital "
"5.0","Rubicon Project","US","Rubicon Project "
"5.0","Salesforce","US","Salesforce "
"5.0","Share This","US","Share This "
"5.0","Singtel","SG","Singtel "
"5.0","Sizmek","US","Sizmek > Vector Capital "
"5.0","Smart AdServer","FR","Smart AdServer "
"5.0","Spot X Change","US","Spot X Change "
"5.0","StackPath","US","StackPath "
"5.0","Taboola","US","Taboola "
"5.0","Taptica","US","Taptica > Marimedia "
"5.0","Tremor Video","US","Tremor Video > Taptica > Marimedia "
"5.0","Turn","US","Turn > Amobee > Singtel "
"5.0","Vector Capital","US","Vector Capital "
"5.0","Verizon","US","Verizon "
"5.0","Videology Group","US","Videology Group "
"5.0","Wordpress","US","Wordpress > Automattic "
"5.0","Yahoo","US","Yahoo > Oath > Verizon "
"5.0","Yandex","RU","Yandex "
"5.0","YouTube","US","YouTube > Google > Alphabet "
"5.0","Zeta Global","US","Zeta Global "
