"Percent Total","Owner","Owner Country","Owner Lineage","Data Transfered (bytes)"
"15.46","Alphabet","US","Alphabet ","6692537"
"15.46","Google","US","Google > Alphabet ","6692537"
"9.92","Innovid","US","Innovid ","4293796"
"9.61","Amazon","US","Amazon ","4161201"
"8.32","AdSense","US","AdSense > Google > Alphabet ","3602819"
"2.4","DoubleClick","US","DoubleClick > Google > Alphabet ","1038646"
"1.94","Google Tag Manager","US","Google Tag Manager > Google > Alphabet ","841560"
"1.76","Facebook","US","Facebook ","762845"
"1.11","Amazon Web Services","US","Amazon Web Services > Amazon ","480986"
"1.01","Google Analytics","US","Google Analytics > Google > Alphabet ","437091"
"0.57","Oracle","US","Oracle ","244582"
"0.49","Optimizely","US","Optimizely ","212462"
"0.48","Google APIs","US","Google APIs > Google > Alphabet ","206925"
"0.46","AddThis","US","AddThis > Oracle ","197717"
"0.36","Hotjar","MT","Hotjar ","155766"
"0.31","Taboola","US","Taboola ","133512"
"0.28","Accuweather","US","Accuweather ","120114"
"0.28","Adobe Systems","US","Adobe Systems ","119695"
"0.25","Cloudflare","US","Cloudflare ","107995"
"0.22","Yandex","RU","Yandex ","96277"
"0.22","Criteo","FR","Criteo ","95359"
"0.2","Adobe Marketing Cloud","US","Adobe Marketing Cloud > Adobe Systems ","85180"
"0.2","StackPath","US","StackPath ","84588"
"0.16","jQuery Foundation","US","jQuery Foundation ","67153"
"0.13","jsDelivr","US","jsDelivr > Prospect One ","55027"
"0.13","Prospect One","US","Prospect One ","55027"
"0.12","Outbrain","US","Outbrain ","52082"
"0.11","Moat","US","Moat > Oracle ","45590"
"0.1","Twitter","US","Twitter ","43706"
"0.09","Narratiive","AU","Narratiive ","39421"
"0.08","Oath","US","Oath > Verizon ","36640"
"0.08","Verizon","US","Verizon ","36640"
"0.08","Index Exchange","CA","Index Exchange ","33170"
"0.07","Adobe Audience Manager","US","Adobe Audience Manager > Adobe Systems ","32424"
"0.07","OpenX","US","OpenX ","31935"
"0.07","Share This","US","Share This ","31468"
"0.07","Aol","US","Aol > Oath > Verizon ","30469"
"0.07","ONE by Aol","US","ONE by Aol > Aol > Oath > Verizon ","30469"
"0.06","PubMatic","US","PubMatic ","27950"
"0.06","Amazon Marketing Services","US","Amazon Marketing Services > Amazon ","25562"
"0.06","Cxense","NO","Cxense ","25005"
"0.06","Amplitude","US","Amplitude ","23993"
"0.06","Chartbeat","US","Chartbeat ","23825"
"0.04","PulsePoint","US","PulsePoint ","17636"
"0.04","Automattic","US","Automattic ","15789"
"0.02","YouTube","US","YouTube > Google > Alphabet ","10044"
"0.02","New Relic","US","New Relic ","10042"
"0.02","Gravatar","US","Gravatar > Automattic ","9211"
"0.02","Alexa","US","Alexa > Amazon ","7665"
"0.02","Wordpress","US","Wordpress > Automattic ","6578"
"0.01","Yahoo","US","Yahoo > Oath > Verizon ","6171"
"0.01","Acxiom","US","Acxiom ","3364"
"0.01","LiveRamp","US","LiveRamp > Acxiom ","3364"
"0.01","comScore","US","comScore ","2574"
"0.01","ScorecardResearch","US","ScorecardResearch > comScore ","2574"
"0.0","Loopme","UK","Loopme ","1952"
"0.0","Mailchimp","US","Mailchimp ","1727"
"0.0","Bidswitch","UK","Bidswitch > IPONWEB ","1642"
"0.0","IPONWEB","UK","IPONWEB ","1642"
"0.0","Rubicon Project","US","Rubicon Project ","1607"
"0.0","Disqus","US","Disqus > Zeta Global ","1476"
"0.0","Zeta Global","US","Zeta Global ","1476"
"0.0","The Trade Desk","US","The Trade Desk ","1470"
"0.0","Smart AdServer","FR","Smart AdServer ","1354"
"0.0","Blue Kai","US","Blue Kai > Oracle ","1275"
"0.0","Dynadmic","FR","Dynadmic ","1232"
"0.0","DataXu","US","DataXu ","1093"
"0.0","Quantcast","US","Quantcast ","1086"
"0.0","Media Math","US","Media Math ","1072"
"0.0","Conversant Media","US","Conversant Media ","1018"
"0.0","Dotomi","US","Dotomi > Conversant Media ","1018"
"0.0","Videology Group","US","Videology Group ","1006"
"0.0","Eyeview","US","Eyeview ","918"
"0.0","Gumgum","US","Gumgum ","665"
"0.0","Rocketfuel","US","Rocketfuel > Sizmek > Vector Capital ","628"
"0.0","Sizmek","US","Sizmek > Vector Capital ","628"
"0.0","Vector Capital","US","Vector Capital ","628"
"0.0","Spot X Change","US","Spot X Change ","616"
"0.0","Beeswax","US","Beeswax ","606"
"0.0","Marimedia","IL","Marimedia ","538"
"0.0","Taptica","US","Taptica > Marimedia ","538"
"0.0","Tremor Video","US","Tremor Video > Taptica > Marimedia ","538"
"0.0","Amobee","US","Amobee > Singtel ","500"
"0.0","Singtel","SG","Singtel ","500"
"0.0","Turn","US","Turn > Amobee > Singtel ","500"
"0.0","Microsoft","US","Microsoft ","405"
"0.0","AdForm","DK","AdForm ","402"
"0.0","Krux Digital","US","Krux Digital > Salesforce ","320"
"0.0","Salesforce","US","Salesforce ","320"
"0.0","exelate","US","exelate > Nielsen Online ","0"
"0.0","Nielsen Online","US","Nielsen Online ","0"
