"Percent Total","Domain","Data Transfered (bytes)"
"9.92","innovid.com","4293796"
"8.43","ssl-images-amazon.com","3646634"
"8.23","googlesyndication.com","3563575"
"5.22","youm7.com","2260510"
"4.86","jumia.is","2102034"
"4.48","ethiopage.com","1940468"
"4.48","fnb.co.za","1936882"
"4.44","superkora.football","1921699"
"4.11","elfagr.com","1777734"
"3.99","wiley.com","1725736"
"3.9","albawabhnews.com","1687476"
"3.69","dailypost.ng","1595444"
"2.1","fakaza.com","910857"
"2.05","doubleclick.net","887680"
"1.94","ampproject.org","838462"
"1.94","elmogaz.com","838425"
"1.75","facebook.net","758587"
"1.66","bet9ja.com","718536"
"1.25","gstatic.com","542968"
"1.23","punchng.com","532220"
"1.11","googletagservices.com","482241"
"1.09","dstv.com","473276"
"1.01","google-analytics.com","437091"
"0.91","souq.com","395428"
"0.89","ezega.com","385838"
"0.88","cloudfront.net","382173"
"0.87","24.co.za","377694"
"0.83","googletagmanager.com","359319"
"0.64","classistatic.com","279053"
"0.51","onesafe-software.com","219807"
"0.49","optimizely.com","212462"
"0.48","googleapis.com","206925"
"0.46","kxcdn.com","199103"
"0.45","addthis.com","196871"
"0.39","jumia.com.ng","169157"
"0.36","hotjar.com","155766"
"0.35","lkqd.net","152942"
"0.35","2mdn.net","150966"
"0.33","vidible.tv","142294"
"0.32","news24.com","138347"
"0.31","engageya.com","135363"
"0.31","taboola.com","133512"
"0.3","onesignal.com","128595"
"0.29","tawk.to","126786"
"0.28","accuweather.com","120114"
"0.26","streamrail.com","113985"
"0.26","nairaland.com","113417"
"0.25","amazon.ae","109859"
"0.25","cloudflare.com","107995"
"0.24","aniview.com","105829"
"0.23","projectagoratech.com","100917"
"0.23","amazonaws.com","98813"
"0.22","yandex.ru","96277"
"0.22","media-amazon.com","96005"
"0.22","springserve.com","95948"
"0.21","criteo.net","90038"
"0.2","adobedtm.com","84627"
"0.2","bootstrapcdn.com","84588"
"0.19","ebayimg.com","81989"
"0.17","projectagora.net","75698"
"0.16","jquery.com","67153"
"0.13","gumtree.co.za","57988"
"0.13","neaeagovet.com","55607"
"0.13","jsdelivr.net","55027"
"0.12","outbrain.com","52082"
"0.11","moatads.com","45590"
"0.09","outbrainimg.com","40814"
"0.09","effectivemeasure.net","39421"
"0.09","googleadservices.com","39244"
"0.09","twitter.com","38252"
"0.09","fontawesome.com","37747"
"0.08","contentsquare.net","33035"
"0.07","demdex.net","32424"
"0.07","broadcastbed.com","32293"
"0.07","openx.net","31935"
"0.07","indexww.com","31882"
"0.07","sharethis.com","31468"
"0.07","advertising.com","30469"
"0.07","opera.com","30394"
"0.06","pubmatic.com","27950"
"0.06","amazon-adsystem.com","25562"
"0.06","cxense.com","25005"
"0.06","mxpnl.com","24545"
"0.06","amplitude.com","23993"
"0.05","chartbeat.com","23321"
"0.05","sendpulse.com","20349"
"0.05","onthe.io","19695"
"0.04","contextweb.com","17636"
"0.04","plyr.io","15171"
"0.03","marfeelcache.com","14036"
"0.03","google.com","12484"
"0.02","newrelic.com","9781"
"0.02","gravatar.com","9211"
"0.02","ytimg.com","9029"
"0.02","projectagoraservices.com","7940"
"0.02","alexametrics.com","7665"
"0.02","wp.com","6578"
"0.02","tawk.link","6559"
"0.01","yahoo.com","6171"
"0.01","hsoub.com","5869"
