"Page Domain","3P Element Domain","3P Domain Owner","3P Domain Owner Country"
"Elmogaz.com","alexametrics.com","Alexa","US"
"Elmogaz.com","amazonaws.com","Amazon Web Services","US"
"Elmogaz.com","cloudflare.com","Cloudflare","US"
"Elmogaz.com","cloudfront.net","Amazon Web Services","US"
"Elmogaz.com","doubleclick.net","DoubleClick","US"
"Elmogaz.com","elmogaz.com","Unknown",""
"Elmogaz.com","google-analytics.com","Google Analytics","US"
"Elmogaz.com","google.com","Google","US"
"Elmogaz.com","googleapis.com","Google APIs","US"
"Elmogaz.com","googlesyndication.com","AdSense","US"
"Elmogaz.com","googletagservices.com","Google Tag Manager","US"
"Elmogaz.com","gstatic.com","Google","US"
"Elmogaz.com","hsoub.com","Unknown",""
"Elmogaz.com","jquery.com","jQuery Foundation","US"
"Elmogaz.com","mixpanel.com","Unknown",""
"Elmogaz.com","mxpnl.com","Unknown",""
"albawabhnews.com","alexametrics.com","Alexa","US"
"albawabhnews.com","cloudfront.net","Amazon Web Services","US"
"albawabhnews.com","doubleclick.net","DoubleClick","US"
"albawabhnews.com","google-analytics.com","Google Analytics","US"
"albawabhnews.com","google.com","Google","US"
"albawabhnews.com","googleapis.com","Google APIs","US"
"albawabhnews.com","googlesyndication.com","AdSense","US"
"albawabhnews.com","googletagservices.com","Google Tag Manager","US"
"albawabhnews.com","gstatic.com","Google","US"
"albawabhnews.com","islamist-movements.com","Unknown",""
"albawabhnews.com","mowajha.com","Unknown",""
"bet9ja.com","alexametrics.com","Alexa","US"
"bet9ja.com","atdmt.com","Microsoft","US"
"bet9ja.com","cloudfront.net","Amazon Web Services","US"
"bet9ja.com","facebook.com","Facebook","US"
"bet9ja.com","facebook.net","Facebook","US"
"bet9ja.com","google-analytics.com","Google Analytics","US"
"bet9ja.com","googleapis.com","Google APIs","US"
"bet9ja.com","googletagmanager.com","Google Tag Manager","US"
"bet9ja.com","gstatic.com","Google","US"
"bet9ja.com","hotjar.com","Hotjar","MT"
"bet9ja.com","opera.com","Unknown",""
"dailypost.ng","alexametrics.com","Alexa","US"
"dailypost.ng","ampproject.org","Unknown",""
"dailypost.ng","cloudflare.com","Cloudflare","US"
"dailypost.ng","cloudfront.net","Amazon Web Services","US"
"dailypost.ng","consensu.org","Unknown",""
"dailypost.ng","doubleclick.net","DoubleClick","US"
"dailypost.ng","facebook.com","Facebook","US"
"dailypost.ng","facebook.net","Facebook","US"
"dailypost.ng","google-analytics.com","Google Analytics","US"
"dailypost.ng","google.com","Google","US"
"dailypost.ng","googleapis.com","Google APIs","US"
"dailypost.ng","googlesyndication.com","AdSense","US"
"dailypost.ng","googletagservices.com","Google Tag Manager","US"
"dailypost.ng","gstatic.com","Google","US"
"dailypost.ng","kxcdn.com","Unknown",""
"dailypost.ng","sharethis.com","Share This","US"
"dstv.com","adobedtm.com","Adobe Marketing Cloud","US"
"dstv.com","ads-twitter.com","Twitter","US"
"dstv.com","alexametrics.com","Alexa","US"
"dstv.com","amplitude.com","Amplitude","US"
"dstv.com","cloudfront.net","Amazon Web Services","US"
"dstv.com","cxense.com","Cxense","NO"
"dstv.com","doubleclick.net","DoubleClick","US"
"dstv.com","effectivemeasure.net","Narratiive","AU"
"dstv.com","facebook.com","Facebook","US"
"dstv.com","facebook.net","Facebook","US"
"dstv.com","google-analytics.com","Google Analytics","US"
"dstv.com","google.com","Google","US"
"dstv.com","googleadservices.com","AdSense","US"
"dstv.com","googleapis.com","Google APIs","US"
"dstv.com","googletagmanager.com","Google Tag Manager","US"
"dstv.com","gstatic.com","Google","US"
"dstv.com","t.co","Twitter","US"
"dstv.com","twitter.com","Twitter","US"
"elfagr.com","accuweather.com","Accuweather","US"
"elfagr.com","addthis.com","AddThis","US"
"elfagr.com","addthisedge.com","AddThis","US"
"elfagr.com","alexametrics.com","Alexa","US"
"elfagr.com","ampproject.org","Unknown",""
"elfagr.com","ardaad.com","Unknown",""
"elfagr.com","chartbeat.com","Chartbeat","US"
"elfagr.com","chartbeat.net","Chartbeat","US"
"elfagr.com","cloudflare.com","Cloudflare","US"
"elfagr.com","doubleclick.net","DoubleClick","US"
"elfagr.com","google-analytics.com","Google Analytics","US"
"elfagr.com","google.com","Google","US"
"elfagr.com","googlesyndication.com","AdSense","US"
"elfagr.com","googletagservices.com","Google Tag Manager","US"
"elfagr.com","jubnaadserve.com","Unknown",""
"elfagr.com","onesignal.com","Unknown",""
"ethiopage.com","google-analytics.com","Google Analytics","US"
"ethiopage.com","googleapis.com","Google APIs","US"
"ethiopage.com","googletagmanager.com","Google Tag Manager","US"
"ethiopage.com","gstatic.com","Google","US"
"ethiopage.com","jsdelivr.net","jsDelivr","US"
"ethiopage.com","sendpulse.com","Unknown",""
"ethiopage.com","tawk.link","Unknown",""
"ethiopage.com","tawk.to","Unknown",""
"ezega.com","doubleclick.net","DoubleClick","US"
"ezega.com","google-analytics.com","Google Analytics","US"
"ezega.com","google.com","Google","US"
"ezega.com","googlesyndication.com","AdSense","US"
"ezega.com","googletagservices.com","Google Tag Manager","US"
"fakaza.com","alexametrics.com","Alexa","US"
"fakaza.com","cloudfront.net","Amazon Web Services","US"
"fakaza.com","doubleclick.net","DoubleClick","US"
"fakaza.com","facebook.com","Facebook","US"
"fakaza.com","facebook.net","Facebook","US"
"fakaza.com","google-analytics.com","Google Analytics","US"
"fakaza.com","googleapis.com","Google APIs","US"
"fakaza.com","gravatar.com","Gravatar","US"
"fakaza.com","gstatic.com","Google","US"
"fakaza.com","mgid.com","Unknown",""
"fakaza.com","scorecardresearch.com","ScorecardResearch","US"
"fakaza.com","siteswithcontent.com","Unknown",""
"fakaza.com","taboola.com","Taboola","US"
"fakaza.com","twitter.com","Twitter","US"
"fakaza.com","wp.com","Wordpress","US"
"fnb.co.za","doubleclick.net","DoubleClick","US"
"fnb.co.za","google-analytics.com","Google Analytics","US"
"fnb.co.za","google.com","Google","US"
"fnb.co.za","googleadservices.com","AdSense","US"
"fnb.co.za","googletagmanager.com","Google Tag Manager","US"
"gumtree.co.za","2mdn.net","DoubleClick","US"
"gumtree.co.za","adnxs.com","AppNexus","US"
"gumtree.co.za","adsrvr.org","The Trade Desk","US"
"gumtree.co.za","ampproject.org","Unknown",""
"gumtree.co.za","casalemedia.com","Index Exchange","CA"
"gumtree.co.za","classistatic.com","Unknown",""
"gumtree.co.za","creativecdn.com","Unknown",""
"gumtree.co.za","criteo.com","Criteo","FR"
"gumtree.co.za","criteo.net","Criteo","FR"
"gumtree.co.za","demdex.net","Adobe Audience Manager","US"
"gumtree.co.za","doubleclick.net","DoubleClick","US"
"gumtree.co.za","ebayimg.com","Unknown",""
"gumtree.co.za","effectivemeasure.net","Narratiive","AU"
"gumtree.co.za","everesttech.net","Adobe Systems","US"
"gumtree.co.za","facebook.com","Facebook","US"
"gumtree.co.za","facebook.net","Facebook","US"
"gumtree.co.za","google-analytics.com","Google Analytics","US"
"gumtree.co.za","google.com","Google","US"
"gumtree.co.za","googleapis.com","Google APIs","US"
"gumtree.co.za","googlesyndication.com","AdSense","US"
"gumtree.co.za","googletagmanager.com","Google Tag Manager","US"
"gumtree.co.za","googletagservices.com","Google Tag Manager","US"
"gumtree.co.za","indexww.com","Index Exchange","CA"
"gumtree.co.za","optimizely.com","Optimizely","US"
"gumtree.co.za","scorecardresearch.com","ScorecardResearch","US"
"jumia.com.ng","contentsquare.net","Unknown",""
"jumia.com.ng","creativecdn.com","Unknown",""
"jumia.com.ng","criteo.com","Criteo","FR"
"jumia.com.ng","criteo.net","Criteo","FR"
"jumia.com.ng","doubleclick.net","DoubleClick","US"
"jumia.com.ng","facebook.com","Facebook","US"
"jumia.com.ng","facebook.net","Facebook","US"
"jumia.com.ng","google-analytics.com","Google Analytics","US"
"jumia.com.ng","google.com","Google","US"
"jumia.com.ng","googleadservices.com","AdSense","US"
"jumia.com.ng","googletagmanager.com","Google Tag Manager","US"
"jumia.com.ng","jumia.is","Unknown",""
"jumia.com.ng","newrelic.com","New Relic","US"
"jumia.com.ng","nr-data.net","New Relic","US"
"nairaland.com","doubleclick.net","DoubleClick","US"
"nairaland.com","google-analytics.com","Google Analytics","US"
"nairaland.com","google.com","Google","US"
"nairaland.com","googlesyndication.com","AdSense","US"
"nairaland.com","googletagservices.com","Google Tag Manager","US"
"neaeagovet.com","doubleclick.net","DoubleClick","US"
"neaeagovet.com","google-analytics.com","Google Analytics","US"
"neaeagovet.com","google.com","Google","US"
"neaeagovet.com","googlesyndication.com","AdSense","US"
"neaeagovet.com","googletagmanager.com","Google Tag Manager","US"
"neaeagovet.com","googletagservices.com","Google Tag Manager","US"
"news24.com","24.co.za","Unknown",""
"news24.com","24.com","Unknown",""
"news24.com","2mdn.net","DoubleClick","US"
"news24.com","ads-twitter.com","Twitter","US"
"news24.com","alexametrics.com","Alexa","US"
"news24.com","ampproject.org","Unknown",""
"news24.com","brandmetrics.com","Unknown",""
"news24.com","broadcastbed.com","Unknown",""
"news24.com","cloudfront.net","Amazon Web Services","US"
"news24.com","doubleclick.net","DoubleClick","US"
"news24.com","effectivemeasure.net","Narratiive","AU"
"news24.com","facebook.com","Facebook","US"
"news24.com","facebook.net","Facebook","US"
"news24.com","google-analytics.com","Google Analytics","US"
"news24.com","google.com","Google","US"
"news24.com","googleapis.com","Google APIs","US"
"news24.com","googlesyndication.com","AdSense","US"
"news24.com","googletagmanager.com","Google Tag Manager","US"
"news24.com","googletagservices.com","Google Tag Manager","US"
"news24.com","gstatic.com","Google","US"
"news24.com","mediavoice.com","Unknown",""
"news24.com","t.co","Twitter","US"
"news24.com","twitter.com","Twitter","US"
"onesafe-software.com","facebook.com","Facebook","US"
"onesafe-software.com","facebook.net","Facebook","US"
"onesafe-software.com","googleapis.com","Google APIs","US"
"onesafe-software.com","gstatic.com","Google","US"
"onesafe-software.com","maxymiser.net","Unknown",""
"punchng.com","2mdn.net","DoubleClick","US"
"punchng.com","acuityplatform.com","Unknown",""
"punchng.com","adentifi.com","Unknown",""
"punchng.com","adnxs.com","AppNexus","US"
"punchng.com","adsrvr.org","The Trade Desk","US"
"punchng.com","advertising.com","ONE by Aol","US"
"punchng.com","alexametrics.com","Alexa","US"
"punchng.com","amazonaws.com","Amazon Web Services","US"
"punchng.com","ampproject.org","Unknown",""
"punchng.com","aniview.com","Unknown",""
"punchng.com","bidr.io","Beeswax","US"
"punchng.com","bidswitch.net","Bidswitch","UK"
"punchng.com","bluekai.com","Blue Kai","US"
"punchng.com","brealtime.com","Unknown",""
"punchng.com","casalemedia.com","Index Exchange","CA"
"punchng.com","chartbeat.com","Chartbeat","US"
"punchng.com","cloudfront.net","Amazon Web Services","US"
"punchng.com","contextweb.com","PulsePoint","US"
"punchng.com","criteo.com","Criteo","FR"
"punchng.com","criteo.net","Criteo","FR"
"punchng.com","demdex.net","Adobe Audience Manager","US"
"punchng.com","disqus.com","Disqus","US"
"punchng.com","dmcdn.net","Unknown",""
"punchng.com","dotomi.com","Dotomi","US"
"punchng.com","doubleclick.net","DoubleClick","US"
"punchng.com","dyntrk.com","Dynadmic","FR"
"punchng.com","engageya.com","Unknown",""
"punchng.com","everesttech.net","Adobe Systems","US"
"punchng.com","exelator.com","exelate","US"
"punchng.com","eyeviewads.com","Eyeview","US"
"punchng.com","facebook.com","Facebook","US"
"punchng.com","facebook.net","Facebook","US"
"punchng.com","fontawesome.com","Unknown",""
"punchng.com","google-analytics.com","Google Analytics","US"
"punchng.com","google.com","Google","US"
"punchng.com","googleapis.com","Google APIs","US"
"punchng.com","googlesyndication.com","AdSense","US"
"punchng.com","googletagservices.com","Google Tag Manager","US"
"punchng.com","gstatic.com","Google","US"
"punchng.com","gumgum.com","Gumgum","US"
"punchng.com","innovid.com","Innovid","US"
"punchng.com","krxd.net","Krux Digital","US"
"punchng.com","liadm.com","Unknown",""
"punchng.com","lkqd.net","Unknown",""
"punchng.com","loopme.me","Loopme","UK"
"punchng.com","mailchimp.com","Mailchimp","US"
"punchng.com","marfeelcache.com","Unknown",""
"punchng.com","mathtag.com","Media Math","US"
"punchng.com","mdhv.io","Unknown",""
"punchng.com","moatads.com","Moat","US"
"punchng.com","mox.tv","Unknown",""
"punchng.com","ns1p.net","Unknown",""
"punchng.com","onesignal.com","Unknown",""
"punchng.com","onthe.io","Unknown",""
"punchng.com","openx.net","OpenX","US"
"punchng.com","os.tc","Unknown",""
"punchng.com","plyr.io","Unknown",""
"punchng.com","pubmatic.com","PubMatic","US"
"punchng.com","quantserve.com","Quantcast","US"
"punchng.com","rangetouch.com","Unknown",""
"punchng.com","rfihub.com","Rocketfuel","US"
"punchng.com","rlcdn.com","LiveRamp","US"
"punchng.com","sabio.us","Unknown",""
"punchng.com","scorecardresearch.com","ScorecardResearch","US"
"punchng.com","spotxchange.com","Spot X Change","US"
"punchng.com","springserve.com","Unknown",""
"punchng.com","streamrail.com","Unknown",""
"punchng.com","tidaltv.com","Videology Group","US"
"punchng.com","truoptik.com","Unknown",""
"punchng.com","turn.com","Turn","US"
"punchng.com","videohub.tv","Tremor Video","US"
"punchng.com","vidible.tv","Unknown",""
"punchng.com","vidiom.net","Unknown",""
"punchng.com","w55c.net","DataXu","US"
