"N Pages Loaded","20"
"% of all Pages","100.0"
"% Pages SSL","85.0"
"N Elements Received","2665"
"% Elements Received SSL","95.38"
"N 1P Elements Received","931"
"% 1P Elements Received SSL","94.41"
"N 3P Elements Received","1734"
"% 3P Elements Received SSL","95.91"
"Average Page Load Time (ms)","18296.8"
"% w/3p Element","100.0"
"% w/3p Cookie","90.0"
"% w/3p Javascript","100.0"
"Mean 3p Domains","16.65"
"Median 3p Domains","14.0"
"Mode 3p Domains","5"
"Mean 3p Cookies","38.5"
"Median 3p Cookies","8.0"
"Mode 3p Cookies","4"
