"Percent Total","Domain","Owner","Owner Country","Owner Lineage"
"78.57","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet "
"71.43","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet "
"57.14","google.com","Google","US","Google > Alphabet "
"57.14","googletagmanager.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet "
"50.0","cloudfront.net","Amazon Web Services","US","Amazon Web Services > Amazon "
"50.0","facebook.com","Facebook","US","Facebook "
"50.0","facebook.net","Facebook","US","Facebook "
"50.0","googleapis.com","Google APIs","US","Google APIs > Google > Alphabet "
"42.86","gstatic.com","Google","US","Google > Alphabet "
"35.71","alexametrics.com","Alexa","US","Alexa > Amazon "
"28.57","bootstrapcdn.com","StackPath","US","StackPath "
"28.57","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet "
"28.57","googletagservices.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet "
"28.57","yandex.ru","Yandex","RU","Yandex "
"21.43","cloudflare.com","Cloudflare","US","Cloudflare "
"21.43","criteo.net","Criteo","FR","Criteo "
"21.43","everesttech.net","Adobe Systems","US","Adobe Systems "
"21.43","innity.net","Unknown","",""
"21.43","scorecardresearch.com","ScorecardResearch","US","ScorecardResearch > comScore "
"14.29","2mdn.net","DoubleClick","US","DoubleClick > Google > Alphabet "
"14.29","adnxs.com","AppNexus","US","AppNexus "
"14.29","adsrvr.org","The Trade Desk","US","The Trade Desk "
"14.29","akstat.io","Akamai","US","Akamai "
"14.29","ampproject.org","Unknown","",""
"14.29","aralego.net","Unknown","",""
"14.29","criteo.com","Criteo","FR","Criteo "
"14.29","exelator.com","exelate","US","exelate > Nielsen Online "
"14.29","go-mpulse.net","Soasta","US","Soasta > Akamai "
"14.29","googleadservices.com","AdSense","US","AdSense > Google > Alphabet "
"14.29","innity.com","Unknown","",""
"14.29","ivideosmart.com","Unknown","",""
"14.29","ivstracker.net","Unknown","",""
"14.29","jquery.com","jQuery Foundation","US","jQuery Foundation "
"14.29","jsdelivr.net","jsDelivr","US","jsDelivr > Prospect One "
"14.29","mathtag.com","Media Math","US","Media Math "
"14.29","sitescout.com","SiteScout","US","SiteScout > Centro "
"14.29","spotxchange.com","Spot X Change","US","Spot X Change "
"14.29","tapad.com","TapAd","US","TapAd "
"14.29","w55c.net","DataXu","US","DataXu "
"14.29","webvisor.org","Unknown","",""
"14.29","windows.net","Microsoft","US","Microsoft "
"14.29","yahoo.com","Yahoo","US","Yahoo > Oath > Verizon "
"14.29","yimg.com","Yahoo","US","Yahoo > Oath > Verizon "
"14.29","youtube.com","YouTube","US","YouTube > Google > Alphabet "
"7.14","33across.com","33Across","US","33Across "
"7.14","abs-cbn.com","Unknown","",""
"7.14","abs-cbnnews.com","Unknown","",""
"7.14","adap.tv","ONE by Aol","US","ONE by Aol > Aol > Oath > Verizon "
"7.14","adfox.ru","Unknown","",""
"7.14","adrecover.com","Unknown","",""
"7.14","adsafeprotected.com","Integral Ad Science","US","Integral Ad Science "
"7.14","adtechus.com","ONE by Aol","US","ONE by Aol > Aol > Oath > Verizon "
"7.14","advertising.com","ONE by Aol","US","ONE by Aol > Aol > Oath > Verizon "
"7.14","agkn.com","Neustar Marketing","US","Neustar Marketing > Neustar > Golden Gate Capital "
"7.14","akipress.org","Unknown","",""
"7.14","alibaba.com","Alibaba","CN","Alibaba "
"7.14","alicdn.com","Alibaba","CN","Alibaba "
"7.14","aliyuncs.com","Alibaba","CN","Alibaba "
"7.14","amazon-adsystem.com","Amazon Marketing Services","US","Amazon Marketing Services > Amazon "
"7.14","amazonaws.com","Amazon Web Services","US","Amazon Web Services > Amazon "
"7.14","aniview.com","Unknown","",""
"7.14","bidr.io","Beeswax","US","Beeswax "
"7.14","bing.com","Bing","US","Bing > Microsoft "
"7.14","bugsnag.com","Bugsnag","US","Bugsnag "
"7.14","citrusad.net","Unknown","",""
"7.14","comodo.com","Unknown","",""
"7.14","consensu.org","Unknown","",""
"7.14","crazyegg.com","Crazy Egg","US","Crazy Egg "
"7.14","createjs.com","CreateJS","CA","CreateJS "
"7.14","creativecdn.com","Unknown","",""
"7.14","datajet.io","Unknown","",""
"7.14","digitaloceanspaces.com","Unknown","",""
"7.14","digitaltarget.ru","Unknown","",""
"7.14","digitru.st","Unknown","",""
"7.14","doska.kg","Unknown","",""
"7.14","dynamicyield.com","Unknown","",""
"7.14","effectivemeasure.net","Narratiive","AU","Narratiive "
"7.14","elcat.kg","Unknown","",""
"7.14","everestjs.net","Adobe Systems","US","Adobe Systems "
"7.14","eyeota.net","Eyeota","SG","Eyeota "
"7.14","firebaseio.com","Unknown","",""
"7.14","gigya.com","Gigya","US","Gigya "
"7.14","gmanetwork.com","Unknown","",""
"7.14","gmanews.tv","Unknown","",""
"7.14","hotlog.ru","Unknown","",""
"7.14","iasds01.com","Integral Ad Science","US","Integral Ad Science "
"7.14","igma.tv","Unknown","",""
"7.14","inquirer.net","Unknown","",""
"7.14","iwant.ph","Unknown","",""
"7.14","izooto.com","Unknown","",""
"7.14","kapamilya.com","Unknown","",""
"7.14","kh1.co","Unknown","",""
"7.14","khmerload.com","Unknown","",""
"7.14","lazada.co.th","Unknown","",""
"7.14","linksynergy.com","Unknown","",""
"7.14","mail.ru","Unknown","",""
"7.14","mailrecipe.com","Unknown","",""
"7.14","media6degrees.com","Dstillery","US","Dstillery "
"7.14","mmstat.com","Alibaba","CN","Alibaba "
"7.14","moatads.com","Moat","US","Moat > Oracle "
