"Percent Total","Element","Extension","Type","Domain","Owner","Owner Country","Owner Lineage"
"78.57","https://www.google-analytics.com/analytics.js","js","javascript","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet "
"64.29","https://stats.g.doubleclick.net/r/collect","","","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet "
"57.14","https://www.google-analytics.com/r/collect","","","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet "
"50.0","https://fonts.googleapis.com/css","","","googleapis.com","Google APIs","US","Google APIs > Google > Alphabet "
"42.86","https://www.googletagmanager.com/gtm.js","js","javascript","googletagmanager.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet "
"35.71","https://certify.alexametrics.com/atrk.gif","gif","image","alexametrics.com","Alexa","US","Alexa > Amazon "
"35.71","https://d31qbv1cthcecs.cloudfront.net/atrk.js","js","javascript","cloudfront.net","Amazon Web Services","US","Amazon Web Services > Amazon "
"35.71","https://www.google.com/ads/ga-audiences","","","google.com","Google","US","Google > Alphabet "
"28.57","https://adservice.google.com/adsid/integrator.js","js","javascript","google.com","Google","US","Google > Alphabet "
"28.57","https://connect.facebook.net/en_US/fbevents.js","js","javascript","facebook.net","Facebook","US","Facebook "
"28.57","https://securepubads.g.doubleclick.net/gampad/ads","","","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet "
"28.57","https://securepubads.g.doubleclick.net/gpt/pubads_impl_2019101401.js","js","javascript","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet "
"28.57","https://securepubads.g.doubleclick.net/gpt/pubads_impl_rendering_2019101401.js","js","javascript","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet "
"28.57","https://staticxx.facebook.com/connect/xd_arbiter.php","php","","facebook.com","Facebook","US","Facebook "
"28.57","https://tpc.googlesyndication.com/safeframe/1-0-35/html/container.html","html","page_static","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet "
"28.57","https://www.facebook.com/tr/","","","facebook.com","Facebook","US","Facebook "
"28.57","https://www.google-analytics.com/collect","","","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet "
"28.57","https://www.googletagservices.com/tag/js/gpt.js","js","javascript","googletagservices.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet "
"21.43","https://cm.g.doubleclick.net/pixel","","","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet "
"21.43","https://www.googletagmanager.com/gtag/js","","","googletagmanager.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet "
"21.43","https://www.googletagservices.com/activeview/js/current/osd.js","js","javascript","googletagservices.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet "
"14.29","https://avd.innity.com/dc/","","","innity.com","Unknown","",""
"14.29","https://avd.innity.com/dc/cb/","","","innity.com","Unknown","",""
"14.29","https://avd.innity.com/sync/","","","innity.com","Unknown","",""
"14.29","https://c.go-mpulse.net/api/config.json","json","data_structured","go-mpulse.net","Soasta","US","Soasta > Akamai "
"14.29","https://c.ivstracker.net/prod/check","","","ivstracker.net","Unknown","",""
"14.29","https://cdn.ampproject.org/rtv/011909241711100/amp4ads-host-v0.js","js","javascript","ampproject.org","Unknown","",""
"14.29","https://cdn.ampproject.org/rtv/011909241711100/amp4ads-v0.js","js","javascript","ampproject.org","Unknown","",""
"14.29","https://cdn.ampproject.org/rtv/011909241711100/v0/amp-analytics-0.1.js","js","javascript","ampproject.org","Unknown","",""
"14.29","https://cdn.aralego.net/ucfad/cookie/sync.html","html","page_static","aralego.net","Unknown","",""
"14.29","https://cdn.jsdelivr.net/npm/yandex-metrica-watch/watch.js","js","javascript","jsdelivr.net","jsDelivr","US","jsDelivr > Prospect One "
"14.29","https://connect.facebook.net/th_TH/sdk.js","js","javascript","facebook.net","Facebook","US","Facebook "
"14.29","https://dis.as.criteo.com/dis/dis.aspx","aspx","","criteo.com","Criteo","FR","Criteo "
"14.29","https://dis.as.criteo.com/event","","","criteo.com","Criteo","FR","Criteo "
"14.29","https://fonts.gstatic.com/s/battambang/v13/uk-mEGe7raEw-HjkzZabPnmp4hxx.woff2","woff2","","gstatic.com","Google","US","Google > Alphabet "
"14.29","https://ib.adnxs.com/getuid","","","adnxs.com","AppNexus","US","AppNexus "
"14.29","https://imasdk.googleapis.com/js/core/bridge3.343.1_en.html","html","page_static","googleapis.com","Google APIs","US","Google APIs > Google > Alphabet "
"14.29","https://imasdk.googleapis.com/js/sdkloader/ima3.js","js","javascript","googleapis.com","Google APIs","US","Google APIs > Google > Alphabet "
"14.29","https://ivsense-api.ivideosmart.com/v3/prod/vsplayer","","","ivideosmart.com","Unknown","",""
"14.29","https://ivxplayer.ivideosmart.com/prod/validate","","","ivideosmart.com","Unknown","",""
"14.29","https://loadm.exelator.com/load/","","","exelator.com","exelate","US","exelate > Nielsen Online "
"14.29","https://match.adsrvr.org/track/cmf/generic","","","adsrvr.org","The Trade Desk","US","The Trade Desk "
"14.29","https://mc.webvisor.org/metrika/advert.gif","gif","image","webvisor.org","Unknown","",""
"14.29","https://mc.webvisor.org/sync_cookie_image_check","","","webvisor.org","Unknown","",""
"14.29","https://mc.webvisor.org/sync_cookie_image_decide","","","webvisor.org","Unknown","",""
"14.29","https://mc.yandex.ru/metrika/advert.gif","gif","image","yandex.ru","Yandex","RU","Yandex "
"14.29","https://mc.yandex.ru/metrika/watch.js","js","javascript","yandex.ru","Yandex","RU","Yandex "
"14.29","https://mc.yandex.ru/sync_cookie_image_start","","","yandex.ru","Yandex","RU","Yandex "
"14.29","https://mc.yandex.ru/watch/3","","","yandex.ru","Yandex","RU","Yandex "
"14.29","https://mc.yandex.ru/watch/3/1","","","yandex.ru","Yandex","RU","Yandex "
"14.29","https://mc.yandex.ru/watch/49007009","","","yandex.ru","Yandex","RU","Yandex "
"14.29","https://mc.yandex.ru/watch/49007009/1","","","yandex.ru","Yandex","RU","Yandex "
"14.29","https://pagead2.googlesyndication.com/pcs/activeview","","","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet "
"14.29","https://pixel-sync.sitescout.com/dmp/pixelSync","","","sitescout.com","SiteScout","US","SiteScout > Centro "
"14.29","https://pixel.tapad.com/idsync/ex/push","","","tapad.com","TapAd","US","TapAd "
"14.29","https://player.ivideosmart.com/ivideosense/player/js/ivsnload_v1.js","js","javascript","ivideosmart.com","Unknown","",""
"14.29","https://player.ivideosmart.com/ivideosense/player/js/player_v7.09301643.js","js","javascript","ivideosmart.com","Unknown","",""
"14.29","https://player.ivideosmart.com/ivideosense/player/style/player_v7.09301643.css","css","style_sheet","ivideosmart.com","Unknown","",""
"14.29","https://player.ivideosmart.com/ivshotspots/js/default-hotspots.js","js","javascript","ivideosmart.com","Unknown","",""
"14.29","https://player.ivideosmart.com/ivxplayer/ivxplay_v2.js","js","javascript","ivideosmart.com","Unknown","",""
"14.29","https://player.ivideosmart.com/ivxplayer/v2/js/main.10161017.js","js","javascript","ivideosmart.com","Unknown","",""
"14.29","https://player.ivideosmart.com/ivxplayer/v2/js/videojs.ads.10161017.js","js","javascript","ivideosmart.com","Unknown","",""
"14.29","https://player.ivideosmart.com/ivxplayer/v2/styles/main.10161017.css","css","style_sheet","ivideosmart.com","Unknown","",""
"14.29","https://pm.w55c.net/ping_match.gif","gif","image","w55c.net","DataXu","US","DataXu "
"14.29","https://r.ivideosmart.com/prod/v1/pageLoad","","","ivideosmart.com","Unknown","",""
"14.29","https://r.ivideosmart.com/prod/v1/videoReady","","","ivideosmart.com","Unknown","",""
"14.29","https://r.ivideosmart.com/prod/v1/widgetReady","","","ivideosmart.com","Unknown","",""
"14.29","https://s0.2mdn.net/instream/video/client.js","js","javascript","2mdn.net","DoubleClick","US","DoubleClick > Google > Alphabet "
"14.29","https://sb.scorecardresearch.com/p","","","scorecardresearch.com","ScorecardResearch","US","ScorecardResearch > comScore "
"14.29","https://securepubads.g.doubleclick.net/pcs/view","","","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet "
"14.29","https://sslwidget.criteo.com/event","","","criteo.com","Criteo","FR","Criteo "
"14.29","https://static.criteo.net/js/ld/ld.js","js","javascript","criteo.net","Criteo","FR","Criteo "
"14.29","https://sync-tm.everesttech.net/upi/pid/h0r58thg","","","everesttech.net","Adobe Systems","US","Adobe Systems "
"14.29","https://sync.mathtag.com/sync/img","","","mathtag.com","Media Math","US","Media Math "
"14.29","https://sync.search.spotxchange.com/partner","","","spotxchange.com","Spot X Change","US","Spot X Change "
"14.29","https://www.google-analytics.com/gtm/js","","","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet "
"14.29","https://www.googleadservices.com/pagead/conversion_async.js","js","javascript","googleadservices.com","AdSense","US","AdSense > Google > Alphabet "
"7.14","http://a18c8fefc800fe6ed2f1dd42b8b5ca2a9.profile.dfw53.cloudfront.net/test.png","png","image","cloudfront.net","Amazon Web Services","US","Amazon Web Services > Amazon "
"7.14","http://aaa5.akipress.org/www/delivery/asyncjs.php","php","","akipress.org","Unknown","",""
"7.14","http://aaa5.akipress.org/www/delivery/asyncspc.php","php","","akipress.org","Unknown","",""
