"Percent Total","Element","Extension","Type","Domain","Owner","Owner Country","Owner Lineage"
"35.71","https://certify.alexametrics.com/atrk.gif","gif","image","alexametrics.com","Alexa","US","Alexa > Amazon "
"14.29","https://mc.webvisor.org/metrika/advert.gif","gif","image","webvisor.org","Unknown","",""
"14.29","https://mc.yandex.ru/metrika/advert.gif","gif","image","yandex.ru","Yandex","RU","Yandex "
"14.29","https://pm.w55c.net/ping_match.gif","gif","image","w55c.net","DataXu","US","DataXu "
"7.14","http://a18c8fefc800fe6ed2f1dd42b8b5ca2a9.profile.dfw53.cloudfront.net/test.png","png","image","cloudfront.net","Amazon Web Services","US","Amazon Web Services > Amazon "
"7.14","http://aaa5.akipress.org/www/images/366c42bcc8580a97675d84bedd2dd06f.gif","gif","image","akipress.org","Unknown","",""
"7.14","http://aaa5.akipress.org/www/images/41e188029755528045fa117a625605d0.png","png","image","akipress.org","Unknown","",""
"7.14","http://aaa5.akipress.org/www/images/42656abd645bd38029fa8f0a5326f6c8.gif","gif","image","akipress.org","Unknown","",""
"7.14","http://aaa5.akipress.org/www/images/8ae61940edcc3dd4469f05b8fb323fe4.gif","gif","image","akipress.org","Unknown","",""
"7.14","http://aaa5.akipress.org/www/images/b60b2cc66307978bd5e63a511a11b2d8.gif","gif","image","akipress.org","Unknown","",""
"7.14","http://aaa5.akipress.org/www/images/bfcc9d06fd66d0f483d7ec87e661be70.jpg","jpg","image","akipress.org","Unknown","",""
"7.14","http://aaa5.akipress.org/www/images/d41c7718d52a9d2a625bd5d454797448.gif","gif","image","akipress.org","Unknown","",""
"7.14","http://aaa5.akipress.org/www/images/de38bd8315a7dfabbdd7be573506b703.gif","gif","image","akipress.org","Unknown","",""
"7.14","http://aaa5.akipress.org/www/images/e1f35ff929d18fbb19b33a3e04cc3bbc.gif","gif","image","akipress.org","Unknown","",""
"7.14","http://aaa5.akipress.org/www/images/e8cd565ca3ece25b7c37741db6f64d65.gif","gif","image","akipress.org","Unknown","",""
"7.14","http://aaa5.akipress.org/www/images/f5ffc1eb9df90d60288056ed463bfec6.gif","gif","image","akipress.org","Unknown","",""
"7.14","http://akipress.org/uiall-img/app.png","png","image","akipress.org","Unknown","",""
"7.14","http://akipress.org/uiall-img/whoiswho/companiesbg.png","png","image","akipress.org","Unknown","",""
"7.14","http://akipress.org/uiall-img/whoiswho/companieslogo.png","png","image","akipress.org","Unknown","",""
"7.14","http://akipress.org/uiall-img/whoiswho/logo_last.png","png","image","akipress.org","Unknown","",""
"7.14","http://cdn.sabay.com/cdn/media.sabay.com/media/Kanha/(2020)/News(2)/Chinese-Star-2019/chinese-star-3/5da7e4840e52a_1571284080_small.jpg","jpg","image","sabay.com","Unknown","",""
"7.14","http://cdn.sabay.com/cdn/media.sabay.com/media/TECH-KK/MENGNGY/Intenational(1)/Inter/5da80e19a53c5_1571294700_small.jpg","jpg","image","sabay.com","Unknown","",""
"7.14","http://cdn.sabay.com/cdn/media.sabay.com/media/sabay-news/Social-/CJ/Sokha/Sokha-25/5da80491690de_1571292300_small.jpg","jpg","image","sabay.com","Unknown","",""
"7.14","http://cdn.sabay.com/cdn/media.sabay.com/media/sabay-news/Sport-News/International-Sports/soccer/Soccer54/Soccer144/Soccer(146)/5da8313de211d_1571303700_small.jpg","jpg","image","sabay.com","Unknown","",""
"7.14","http://cdn.sabay.com/cdn/media.sabay.com/media/sabay-news/Technology-News/International/News291/5da8174d3b9c1_1571297100_small.png","png","image","sabay.com","Unknown","",""
"7.14","http://cloudfront-labs.amazonaws.com/x.png","png","image","amazonaws.com","Amazon Web Services","US","Amazon Web Services > Amazon "
"7.14","http://profiles.tazabek.kg/ui-img/inform-logo.jpg","jpg","image","tazabek.kg","Unknown","",""
"7.14","http://static-2.akipress.org/akipress_logo2.png","png","image","akipress.org","Unknown","",""
"7.14","http://static-2.akipress.org/img/akipress/informer_doska2.png","png","image","akipress.org","Unknown","",""
"7.14","http://static-2.akipress.org/img/akipress/informer_history.png","png","image","akipress.org","Unknown","",""
"7.14","http://static-2.akipress.org/img/akipress/informer_mnenie.png","png","image","akipress.org","Unknown","",""
"7.14","http://static-2.akipress.org/img/akipress/informer_pressc.png","png","image","akipress.org","Unknown","",""
"7.14","http://static-2.akipress.org/img/akipress/informer_reporter2.png","png","image","akipress.org","Unknown","",""
"7.14","http://static-2.akipress.org/img/auto2.0/logo_07.png","png","image","akipress.org","Unknown","",""
"7.14","http://static-2.akipress.org/img/handshake_2.png","png","image","akipress.org","Unknown","",""
"7.14","http://static-2.akipress.org/img/lightbox/next.png","png","image","akipress.org","Unknown","",""
"7.14","http://static-2.akipress.org/img/lightbox/prev.png","png","image","akipress.org","Unknown","",""
"7.14","http://static-2.akipress.org/img/people/people_v3_batyralievt.png","png","image","akipress.org","Unknown","",""
"7.14","http://static-2.akipress.org/img/people/people_v3_bot.png","png","image","akipress.org","Unknown","",""
"7.14","http://static-2.akipress.org/img/people/people_v3_isagalievm2.png","png","image","akipress.org","Unknown","",""
"7.14","http://static-2.akipress.org/img/people/people_v3_it_kurmanalievy.jpg","jpg","image","akipress.org","Unknown","",""
"7.14","http://static-2.akipress.org/img/people/people_v3_top2.png","png","image","akipress.org","Unknown","",""
"7.14","http://static-2.akipress.org/st_autodoska/93/761521-87673122.1.mini2.jpg","jpg","image","akipress.org","Unknown","",""
