"Percent Total","Element","Extension","Type","Domain","Owner","Owner Country","Owner Lineage"
"78.57","https://www.google-analytics.com/analytics.js","js","javascript","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet "
"42.86","https://www.googletagmanager.com/gtm.js","js","javascript","googletagmanager.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet "
"35.71","https://d31qbv1cthcecs.cloudfront.net/atrk.js","js","javascript","cloudfront.net","Amazon Web Services","US","Amazon Web Services > Amazon "
"28.57","https://adservice.google.com/adsid/integrator.js","js","javascript","google.com","Google","US","Google > Alphabet "
"28.57","https://connect.facebook.net/en_US/fbevents.js","js","javascript","facebook.net","Facebook","US","Facebook "
"28.57","https://securepubads.g.doubleclick.net/gpt/pubads_impl_2019101401.js","js","javascript","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet "
"28.57","https://securepubads.g.doubleclick.net/gpt/pubads_impl_rendering_2019101401.js","js","javascript","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet "
"28.57","https://www.googletagservices.com/tag/js/gpt.js","js","javascript","googletagservices.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet "
"21.43","https://www.googletagservices.com/activeview/js/current/osd.js","js","javascript","googletagservices.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet "
"14.29","https://cdn.ampproject.org/rtv/011909241711100/amp4ads-host-v0.js","js","javascript","ampproject.org","Unknown","",""
"14.29","https://cdn.ampproject.org/rtv/011909241711100/amp4ads-v0.js","js","javascript","ampproject.org","Unknown","",""
"14.29","https://cdn.ampproject.org/rtv/011909241711100/v0/amp-analytics-0.1.js","js","javascript","ampproject.org","Unknown","",""
"14.29","https://cdn.jsdelivr.net/npm/yandex-metrica-watch/watch.js","js","javascript","jsdelivr.net","jsDelivr","US","jsDelivr > Prospect One "
"14.29","https://connect.facebook.net/th_TH/sdk.js","js","javascript","facebook.net","Facebook","US","Facebook "
"14.29","https://imasdk.googleapis.com/js/sdkloader/ima3.js","js","javascript","googleapis.com","Google APIs","US","Google APIs > Google > Alphabet "
"14.29","https://mc.yandex.ru/metrika/watch.js","js","javascript","yandex.ru","Yandex","RU","Yandex "
"14.29","https://player.ivideosmart.com/ivideosense/player/js/ivsnload_v1.js","js","javascript","ivideosmart.com","Unknown","",""
"14.29","https://player.ivideosmart.com/ivideosense/player/js/player_v7.09301643.js","js","javascript","ivideosmart.com","Unknown","",""
"14.29","https://player.ivideosmart.com/ivshotspots/js/default-hotspots.js","js","javascript","ivideosmart.com","Unknown","",""
"14.29","https://player.ivideosmart.com/ivxplayer/ivxplay_v2.js","js","javascript","ivideosmart.com","Unknown","",""
"14.29","https://player.ivideosmart.com/ivxplayer/v2/js/main.10161017.js","js","javascript","ivideosmart.com","Unknown","",""
"14.29","https://player.ivideosmart.com/ivxplayer/v2/js/videojs.ads.10161017.js","js","javascript","ivideosmart.com","Unknown","",""
"14.29","https://s0.2mdn.net/instream/video/client.js","js","javascript","2mdn.net","DoubleClick","US","DoubleClick > Google > Alphabet "
"14.29","https://static.criteo.net/js/ld/ld.js","js","javascript","criteo.net","Criteo","FR","Criteo "
"14.29","https://www.googleadservices.com/pagead/conversion_async.js","js","javascript","googleadservices.com","AdSense","US","AdSense > Google > Alphabet "
"7.14","http://ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js","js","javascript","googleapis.com","Google APIs","US","Google APIs > Google > Alphabet "
"7.14","http://akipress.org/ui-js/a.1449637869.js","js","javascript","akipress.org","Unknown","",""
"7.14","http://akipress.org/ui-js/j.1432028716.js","js","javascript","akipress.org","Unknown","",""
"7.14","http://st.sabay.com/piwik.js","js","javascript","sabay.com","Unknown","",""
"7.14","http://static-2.akipress.org/aimak.kg/js/jquery.tinycarousel.min.js","js","javascript","akipress.org","Unknown","",""
"7.14","http://top-fwz1.mail.ru/js/code.js","js","javascript","mail.ru","Unknown","",""
"7.14","http://www.google-analytics.com/analytics.js","js","javascript","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet "
"7.14","https://a.teads.tv/media/format/v3/teads-format.min.js","js","javascript","teads.tv","Teads","US","Teads > Altice SA "
"7.14","https://ajax.cloudflare.com/cdn-cgi/scripts/95c75768/cloudflare-static/rocket-loader.min.js","js","javascript","cloudflare.com","Cloudflare","US","Cloudflare "
"7.14","https://ajax.googleapis.com/ajax/libs/jquery/1/jquery.min.js","js","javascript","googleapis.com","Google APIs","US","Google APIs > Google > Alphabet "
"7.14","https://ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js","js","javascript","googleapis.com","Google APIs","US","Google APIs > Google > Alphabet "
