"Percent Requests Encrypted","Owner","Owner Country","Owner Lineage"
"100.0","Acxiom","US","Acxiom "
"100.0","AdSense","US","AdSense > Google > Alphabet "
"100.0","Adobe Systems","US","Adobe Systems "
"100.0","Akamai","US","Akamai "
"100.0","Alexa","US","Alexa > Amazon "
"100.0","Alibaba","CN","Alibaba "
"100.0","Altice SA","LU","Altice SA "
"100.0","Amazon Marketing Services","US","Amazon Marketing Services > Amazon "
"100.0","Aol","US","Aol > Oath > Verizon "
"100.0","Beeswax","US","Beeswax "
"100.0","Bing","US","Bing > Microsoft "
"100.0","Bugsnag","US","Bugsnag "
"100.0","Centro","US","Centro "
"100.0","Cloudflare","US","Cloudflare "
"100.0","Crazy Egg","US","Crazy Egg "
"100.0","CreateJS","CA","CreateJS "
"100.0","Criteo","FR","Criteo "
"100.0","DataXu","US","DataXu "
"100.0","Datonics","US","Datonics "
"100.0","DoubleClick","US","DoubleClick > Google > Alphabet "
"100.0","Dstillery","US","Dstillery "
"100.0","Eyeota","SG","Eyeota "
"100.0","Facebook","US","Facebook "
"100.0","Gigya","US","Gigya "
"100.0","Golden Gate Capital","US","Golden Gate Capital "
"100.0","Google Tag Manager","US","Google Tag Manager > Google > Alphabet "
"100.0","Integral Ad Science","US","Integral Ad Science "
"100.0","LiveRamp","US","LiveRamp > Acxiom "
"100.0","Media Math","US","Media Math "
"100.0","Microsoft","US","Microsoft "
"100.0","Moat","US","Moat > Oracle "
"100.0","Narratiive","AU","Narratiive "
"100.0","Neustar","US","Neustar > Golden Gate Capital "
"100.0","Neustar Marketing","US","Neustar Marketing > Neustar > Golden Gate Capital "
"100.0","New Relic","US","New Relic "
"100.0","Nielsen Online","US","Nielsen Online "
"100.0","ONE by Aol","US","ONE by Aol > Aol > Oath > Verizon "
"100.0","Oath","US","Oath > Verizon "
"100.0","OpenX","US","OpenX "
"100.0","Oracle","US","Oracle "
"100.0","Outbrain","US","Outbrain "
"100.0","Prospect One","US","Prospect One "
"100.0","Rubicon Project","US","Rubicon Project "
"100.0","ScorecardResearch","US","ScorecardResearch > comScore "
"100.0","SiteScout","US","SiteScout > Centro "
"100.0","Skimlinks","UK","Skimlinks "
"100.0","Soasta","US","Soasta > Akamai "
"100.0","Spot X Change","US","Spot X Change "
"100.0","TapAd","US","TapAd "
"100.0","Teads","US","Teads > Altice SA "
"100.0","Tealium","US","Tealium "
"100.0","The Trade Desk","US","The Trade Desk "
"100.0","Twitter","US","Twitter "
"100.0","Typekit","US","Typekit > Adobe Systems "
"100.0","Ve Interactive","UK","Ve Interactive "
"100.0","Verizon","US","Verizon "
"100.0","Yahoo","US","Yahoo > Oath > Verizon "
"100.0","Yandex","RU","Yandex "
"100.0","YouTube","US","YouTube > Google > Alphabet "
"100.0","Zendesk","US","Zendesk "
"100.0","Zendesk Chat","US","Zendesk Chat > Zendesk "
"100.0","comScore","US","comScore "
"100.0","exelate","US","exelate > Nielsen Online "
"100.0","jQuery Foundation","US","jQuery Foundation "
"100.0","jsDelivr","US","jsDelivr > Prospect One "
"100.0","weborama","FR","weborama "
"98.16","Alphabet","US","Alphabet "
"98.16","Google","US","Google > Alphabet "
"93.55","Google Analytics","US","Google Analytics > Google > Alphabet "
"92.31","Google APIs","US","Google APIs > Google > Alphabet "
"89.47","Amazon","US","Amazon "
"85.71","StackPath","US","StackPath "
"77.78","Amazon Web Services","US","Amazon Web Services > Amazon "
