"Percentage Pages Tracked","Owner","Owner Country","Owner Lineage"
"92.86","Alphabet","US","Alphabet "
"92.86","Google","US","Google > Alphabet "
"78.57","Google Analytics","US","Google Analytics > Google > Alphabet "
"71.43","DoubleClick","US","DoubleClick > Google > Alphabet "
"71.43","Google Tag Manager","US","Google Tag Manager > Google > Alphabet "
"50.0","Amazon","US","Amazon "
"50.0","Amazon Web Services","US","Amazon Web Services > Amazon "
"50.0","Facebook","US","Facebook "
"50.0","Google APIs","US","Google APIs > Google > Alphabet "
"42.86","AdSense","US","AdSense > Google > Alphabet "
"35.71","Alexa","US","Alexa > Amazon "
"28.57","StackPath","US","StackPath "
"28.57","Yandex","RU","Yandex "
"21.43","Adobe Systems","US","Adobe Systems "
"21.43","Cloudflare","US","Cloudflare "
"21.43","comScore","US","comScore "
"21.43","Criteo","FR","Criteo "
"21.43","Microsoft","US","Microsoft "
"21.43","Oath","US","Oath > Verizon "
"21.43","ScorecardResearch","US","ScorecardResearch > comScore "
"21.43","Verizon","US","Verizon "
"21.43","Yahoo","US","Yahoo > Oath > Verizon "
"14.29","Akamai","US","Akamai "
"14.29","Aol","US","Aol > Oath > Verizon "
"14.29","AppNexus","US","AppNexus "
"14.29","Centro","US","Centro "
"14.29","DataXu","US","DataXu "
"14.29","exelate","US","exelate > Nielsen Online "
"14.29","jQuery Foundation","US","jQuery Foundation "
"14.29","jsDelivr","US","jsDelivr > Prospect One "
"14.29","Media Math","US","Media Math "
"14.29","Nielsen Online","US","Nielsen Online "
"14.29","ONE by Aol","US","ONE by Aol > Aol > Oath > Verizon "
"14.29","Prospect One","US","Prospect One "
"14.29","SiteScout","US","SiteScout > Centro "
"14.29","Soasta","US","Soasta > Akamai "
"14.29","Spot X Change","US","Spot X Change "
"14.29","TapAd","US","TapAd "
"14.29","The Trade Desk","US","The Trade Desk "
"14.29","YouTube","US","YouTube > Google > Alphabet "
"7.14","33Across","US","33Across "
"7.14","Acxiom","US","Acxiom "
"7.14","Alibaba","CN","Alibaba "
"7.14","Altice SA","LU","Altice SA "
"7.14","Amazon Marketing Services","US","Amazon Marketing Services > Amazon "
"7.14","Beeswax","US","Beeswax "
"7.14","Bing","US","Bing > Microsoft "
"7.14","Bugsnag","US","Bugsnag "
"7.14","Crazy Egg","US","Crazy Egg "
"7.14","CreateJS","CA","CreateJS "
"7.14","Datonics","US","Datonics "
"7.14","Dstillery","US","Dstillery "
"7.14","Eyeota","SG","Eyeota "
"7.14","Gigya","US","Gigya "
"7.14","Golden Gate Capital","US","Golden Gate Capital "
"7.14","Integral Ad Science","US","Integral Ad Science "
"7.14","LiveRamp","US","LiveRamp > Acxiom "
"7.14","Moat","US","Moat > Oracle "
"7.14","Narratiive","AU","Narratiive "
"7.14","Neustar","US","Neustar > Golden Gate Capital "
"7.14","Neustar Marketing","US","Neustar Marketing > Neustar > Golden Gate Capital "
"7.14","New Relic","US","New Relic "
"7.14","OpenX","US","OpenX "
"7.14","Oracle","US","Oracle "
"7.14","Outbrain","US","Outbrain "
"7.14","Rubicon Project","US","Rubicon Project "
"7.14","Skimlinks","UK","Skimlinks "
"7.14","Teads","US","Teads > Altice SA "
"7.14","Tealium","US","Tealium "
"7.14","Twitter","US","Twitter "
"7.14","Typekit","US","Typekit > Adobe Systems "
"7.14","Ve Interactive","UK","Ve Interactive "
"7.14","weborama","FR","weborama "
"7.14","Zendesk","US","Zendesk "
"7.14","Zendesk Chat","US","Zendesk Chat > Zendesk "
