"Percent Total","Domain","Data Transfered (bytes)"
"19.09","com.kh","11467165"
"15.79","abs-cbn.com","9487579"
"9.19","windows.net","5519897"
"5.56","akipress.org","3340410"
"4.71","ptcdn.info","2827764"
"3.73","24.kg","2239621"
"3.45","elcat.kg","2070563"
"3.2","gmanetwork.com","1923666"
"2.84","alicdn.com","1706353"
"2.31","kapamilya.com","1387277"
"1.82","inquirer.net","1094202"
"1.67","googlesyndication.com","1004411"
"1.61","yimg.com","965322"
"1.48","gstatic.com","888249"
"1.46","digitaloceanspaces.com","876532"
"1.41","kh1.co","849991"
"1.35","zacdn.com","810986"
"1.27","ivideosmart.com","763588"
"1.15","facebook.net","689622"
"1.03","gmanews.tv","621185"
"0.91","zdassets.com","549429"
"0.89","movie2free.com","536704"
"0.88","dynamicyield.com","529169"
"0.8","sabay.com","479243"
"0.67","pantip.com","402665"
"0.64","doubleclick.net","384134"
"0.52","yandex.ru","314080"
"0.52","yahoo.com","310105"
"0.5","googleapis.com","301898"
"0.48","iwant.ph","288639"
"0.45","google-analytics.com","269918"
"0.44","googletagmanager.com","266744"
"0.43","ampproject.org","259350"
"0.43","vidazoo.com","258299"
"0.4","bootstrapcdn.com","242662"
"0.36","youtube.com","214854"
"0.33","typekit.net","197929"
"0.32","teads.tv","191143"
"0.32","googletagservices.com","190050"
"0.31","khmerload.com","184568"
"0.3","lazada.co.th","177781"
"0.29","gigya.com","173278"
"0.28","google.com","169737"
"0.25","slatic.net","150908"
"0.25","spotx.tv","148499"
"0.25","spotxcdn.com","148499"
"0.21","vidible.tv","127382"
"0.19","go-mpulse.net","115347"
"0.19","mailrecipe.com","114172"
"0.19","aniview.com","113910"
"0.17","yandex.net","102416"
"0.17","moatads.com","101116"
"0.16","jsdelivr.net","95626"
"0.16","igma.tv","95298"
"0.15","adsafeprotected.com","91790"
"0.15","veinteractive.com","89046"
"0.14","zalora.com.ph","84483"
"0.14","outbrain.com","82771"
"0.12","useinsider.com","73388"
"0.11","jquery.com","64909"
"0.11","cloudflare.com","63410"
"0.1","yastatic.net","62883"
"0.1","adfox.ru","60962"
"0.1","onesignal.com","57452"
"0.08","createjs.com","49618"
"0.08","criteo.net","48790"
"0.06","tiqcdn.com","33441"
"0.06","cloudfront.net","33401"
"0.05","twitter.com","32422"
"0.05","onthe.io","32142"
"0.05","izooto.com","31945"
"0.04","citrusad.net","23100"
"0.04","innity.net","21940"
"0.04","tynt.com","21847"
"0.04","2mdn.net","21444"
"0.03","googleadservices.com","19622"
"0.03","raygun.io","18870"
"0.03","adrecover.com","17505"
"0.03","amazon-adsystem.com","15411"
"0.02","comodo.com","14442"
"0.02","spotxchange.com","13811"
"0.02","effectivemeasure.net","13394"
"0.02","digitru.st","11568"
"0.02","newrelic.com","9783"
"0.02","mail.ru","9715"
"0.01","zendesk.com","8290"
"0.01","bing.com","7778"
"0.01","msacam.com","7767"
"0.01","everestjs.net","7554"
"0.01","vizury.com","7472"
"0.01","tazabek.kg","7372"
"0.01","criteo.com","4378"
"0.01","advertising.com","4302"
"0.01","everesttech.net","3687"
"0.01","webvisor.org","3550"
"0.01","innity.com","3487"
"0.01","zalora.com","3187"
"0.0","alexametrics.com","2759"
"0.0","exelator.com","2724"
"0.0","adsrvr.org","2380"
