"Page Domain","3P Element Domain","3P Domain Owner","3P Domain Owner Country"
"24.kg","adfox.ru","Unknown",""
"24.kg","doubleclick.net","DoubleClick","US"
"24.kg","google-analytics.com","Google Analytics","US"
"24.kg","googleapis.com","Google APIs","US"
"24.kg","gstatic.com","Google","US"
"24.kg","www.net.kg","Unknown",""
"24.kg","yandex.net","Unknown",""
"24.kg","yandex.ru","Yandex","RU"
"24.kg","yastatic.net","Unknown",""
"Abs-cbn.com","abs-cbn.com","Unknown",""
"Abs-cbn.com","abs-cbnnews.com","Unknown",""
"Abs-cbn.com","alexametrics.com","Alexa","US"
"Abs-cbn.com","bootstrapcdn.com","StackPath","US"
"Abs-cbn.com","cloudfront.net","Amazon Web Services","US"
"Abs-cbn.com","doubleclick.net","DoubleClick","US"
"Abs-cbn.com","effectivemeasure.net","Narratiive","AU"
"Abs-cbn.com","gigya.com","Gigya","US"
"Abs-cbn.com","google-analytics.com","Google Analytics","US"
"Abs-cbn.com","google.com","Google","US"
"Abs-cbn.com","googleapis.com","Google APIs","US"
"Abs-cbn.com","googlesyndication.com","AdSense","US"
"Abs-cbn.com","googletagmanager.com","Google Tag Manager","US"
"Abs-cbn.com","googletagservices.com","Google Tag Manager","US"
"Abs-cbn.com","gstatic.com","Google","US"
"Abs-cbn.com","iwant.ph","Unknown",""
"Abs-cbn.com","jquery.com","jQuery Foundation","US"
"Abs-cbn.com","kapamilya.com","Unknown",""
"Abs-cbn.com","raygun.io","Unknown",""
"Abs-cbn.com","scorecardresearch.com","ScorecardResearch","US"
"Abs-cbn.com","windows.net","Microsoft","US"
"Abs-cbn.com","youtube.com","YouTube","US"
"Akipress.org","akipress.org","Unknown",""
"Akipress.org","alexametrics.com","Alexa","US"
"Akipress.org","amazonaws.com","Amazon Web Services","US"
"Akipress.org","cloudfront.net","Amazon Web Services","US"
"Akipress.org","createjs.com","CreateJS","CA"
"Akipress.org","digitaltarget.ru","Unknown",""
"Akipress.org","doska.kg","Unknown",""
"Akipress.org","doubleclick.net","DoubleClick","US"
"Akipress.org","google-analytics.com","Google Analytics","US"
"Akipress.org","google.com","Google","US"
"Akipress.org","hotlog.ru","Unknown",""
"Akipress.org","mail.ru","Unknown",""
"Akipress.org","tazabek.kg","Unknown",""
"Akipress.org","yandex.ru","Yandex","RU"
"Elcat.kg","elcat.kg","Unknown",""
"Elcat.kg","google-analytics.com","Google Analytics","US"
"Elcat.kg","googletagmanager.com","Google Tag Manager","US"
"Gmanetwork.com","2mdn.net","DoubleClick","US"
"Gmanetwork.com","adsrvr.org","The Trade Desk","US"
"Gmanetwork.com","aralego.net","Unknown",""
