"N Pages Loaded","14"
"% of all Pages","100.0"
"% Pages SSL","78.57"
"N Elements Received","1900"
"% Elements Received SSL","87.26"
"N 1P Elements Received","332"
"% 1P Elements Received SSL","64.16"
"N 3P Elements Received","1568"
"% 3P Elements Received SSL","92.16"
"Average Page Load Time (ms)","26223.5"
"% w/3p Element","100.0"
"% w/3p Cookie","92.86"
"% w/3p Javascript","100.0"
"Mean 3p Domains","18.5"
"Median 3p Domains","13.5"
"Mode 3p Domains",""
"Mean 3p Cookies","36.71"
"Median 3p Cookies","18.0"
"Mode 3p Cookies",""
