"Percent Total","Domain","Owner","Owner Country","Owner Lineage"
"94.74","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet "
"84.21","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet "
"84.21","google.com","Google","US","Google > Alphabet "
"73.68","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet "
"73.68","googletagservices.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet "
"63.16","ampproject.org","Unknown","",""
"63.16","googletagmanager.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet "
"57.89","criteo.com","Criteo","FR","Criteo "
"57.89","facebook.com","Facebook","US","Facebook "
"57.89","facebook.net","Facebook","US","Facebook "
"57.89","gemius.pl","Gemius","PL","Gemius "
"52.63","criteo.net","Criteo","FR","Criteo "
"52.63","googleapis.com","Google APIs","US","Google APIs > Google > Alphabet "
"42.11","cloudfront.net","Amazon Web Services","US","Amazon Web Services > Amazon "
"42.11","gstatic.com","Google","US","Google > Alphabet "
"42.11","scorecardresearch.com","ScorecardResearch","US","ScorecardResearch > comScore "
"31.58","alexametrics.com","Alexa","US","Alexa > Amazon "
"31.58","bluekai.com","Blue Kai","US","Blue Kai > Oracle "
"31.58","openx.net","OpenX","US","OpenX "
"26.32","adform.net","AdForm","DK","AdForm "
"26.32","adscale.de","AdScale","DE","AdScale "
"26.32","casalemedia.com","Index Exchange","CA","Index Exchange "
"26.32","googleadservices.com","AdSense","US","AdSense > Google > Alphabet "
"26.32","ilan.gov.tr","Unknown","",""
"21.05","adnxs.com","AppNexus","US","AppNexus "
"21.05","adocean.pl","Unknown","",""
"21.05","agkn.com","Neustar Marketing","US","Neustar Marketing > Neustar > Golden Gate Capital "
"21.05","bidswitch.net","Bidswitch","UK","Bidswitch > IPONWEB "
"21.05","bkrtx.com","Blue Kai","US","Blue Kai > Oracle "
"21.05","creativecdn.com","Unknown","",""
"21.05","jsdelivr.net","jsDelivr","US","jsDelivr > Prospect One "
"21.05","pubmatic.com","PubMatic","US","PubMatic "
"21.05","rubiconproject.com","Rubicon Project","US","Rubicon Project "
"21.05","yandex.ru","Yandex","RU","Yandex "
"15.79","adsrvr.org","The Trade Desk","US","The Trade Desk "
"15.79","dimml.io","Unknown","",""
"15.79","everesttech.net","Adobe Systems","US","Adobe Systems "
"15.79","hotjar.com","Hotjar","MT","Hotjar "
"15.79","lijit.com","Sovrn","US","Sovrn "
"15.79","mathtag.com","Media Math","US","Media Math "
"15.79","moatads.com","Moat","US","Moat > Oracle "
"15.79","mookie1.com","Media Innovation Group","UK","Media Innovation Group > WPP "
"15.79","quantserve.com","Quantcast","US","Quantcast "
"15.79","twitter.com","Twitter","US","Twitter "
"10.53","360yield.com","Improve Digital","NL","Improve Digital "
"10.53","acexedge.com","Unknown","",""
"10.53","admatic.com.tr","Unknown","",""
"10.53","adrecover.com","Unknown","",""
"10.53","ads-twitter.com","Twitter","US","Twitter "
"10.53","advertising.com","ONE by Aol","US","ONE by Aol > Aol > Oath > Verizon "
"10.53","betrad.com","Evidon","US","Evidon > Crownpeak "
"10.53","connectad.io","Unknown","",""
"10.53","consensu.org","Unknown","",""
"10.53","contextweb.com","PulsePoint","US","PulsePoint "
"10.53","crwdcntrl.net","Lotame","US","Lotame "
"10.53","demdex.net","Adobe Audience Manager","US","Adobe Audience Manager > Adobe Systems "
"10.53","engageya.com","Unknown","",""
"10.53","evidon.com","Evidon","US","Evidon > Crownpeak "
"10.53","ib-ibi.com","iBehavior","US","iBehavior > KBM Group > Young & Rubicam > WPP "
"10.53","krxd.net","Krux Digital","US","Krux Digital > Salesforce "
"10.53","medyanetads.com","Unknown","",""
"10.53","nuggad.net","nugg.ad","DE","nugg.ad "
"10.53","prebid.org","Unknown","",""
"10.53","rfihub.com","Rocketfuel","US","Rocketfuel > Sizmek > Vector Capital "
"10.53","rlcdn.com","LiveRamp","US","LiveRamp > Acxiom "
"10.53","s-onetag.com","Unknown","",""
"10.53","segmentify.com","Unknown","",""
"10.53","spotxchange.com","Spot X Change","US","Spot X Change "
"10.53","t.co","Twitter","US","Twitter "
"10.53","tidaltv.com","Videology Group","US","Videology Group "
"10.53","tubemogul.com","Tube Mogul","US","Tube Mogul > Adobe Systems "
"10.53","turn.com","Turn","US","Turn > Amobee > Singtel "
"10.53","useinsider.com","Unknown","",""
"10.53","userreport.com","Unknown","",""
"10.53","yahoo.com","Yahoo","US","Yahoo > Oath > Verizon "
"5.26","1rx.io","Blinkx","US","Blinkx > RhythmOne "
"5.26","254a.com","Unknown","",""
"5.26","2mdn.net","DoubleClick","US","DoubleClick > Google > Alphabet "
"5.26","3lift.com","TripleLift","US","TripleLift "
"5.26","9mediaonline.com","Unknown","",""
"5.26","adbrn.com","AdBrain","UK","AdBrain "
"5.26","addthis.com","AddThis","US","AddThis > Oracle "
"5.26","adelement.com","Unknown","",""
"5.26","adentifi.com","Unknown","",""
"5.26","admixer.net","Unknown","",""
"5.26","adobe.com","Adobe Systems","US","Adobe Systems "
"5.26","adtelligent.com","Unknown","",""
"5.26","akamaized.net","Akamai","US","Akamai "
"5.26","amazonaws.com","Amazon Web Services","US","Amazon Web Services > Amazon "
"5.26","angsrvr.com","Unknown","",""
"5.26","appdynamics.com","Unknown","",""
"5.26","avocet.io","Avocet","UK","Avocet "
"5.26","bidr.io","Beeswax","US","Beeswax "
"5.26","brealtime.com","Unknown","",""
"5.26","bttrack.com","Unknown","",""
"5.26","cedexis-radar.net","Cedexis","US","Cedexis > Citrix "
"5.26","cedexis.com","Cedexis","US","Cedexis > Citrix "
"5.26","chartbeat.com","Chartbeat","US","Chartbeat "
"5.26","chartbeat.net","Chartbeat","US","Chartbeat "
"5.26","ciner.com.tr","Unknown","",""
