"Percent Total","Element","Extension","Type","Domain","Owner","Owner Country","Owner Lineage"
"89.47","https://www.google-analytics.com/analytics.js","js","javascript","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet "
"78.95","https://www.google-analytics.com/r/collect","","","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet "
"73.68","https://adservice.google.com/adsid/integrator.js","js","javascript","google.com","Google","US","Google > Alphabet "
"73.68","https://securepubads.g.doubleclick.net/gampad/ads","","","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet "
"73.68","https://stats.g.doubleclick.net/r/collect","","","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet "
"73.68","https://tpc.googlesyndication.com/safeframe/1-0-35/html/container.html","html","page_static","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet "
"68.42","https://securepubads.g.doubleclick.net/gpt/pubads_impl_2019101401.js","js","javascript","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet "
"68.42","https://securepubads.g.doubleclick.net/gpt/pubads_impl_rendering_2019101401.js","js","javascript","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet "
"68.42","https://www.google.com/ads/ga-audiences","","","google.com","Google","US","Google > Alphabet "
"63.16","https://www.google-analytics.com/collect","","","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet "
"63.16","https://www.googletagservices.com/tag/js/gpt.js","js","javascript","googletagservices.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet "
"57.89","https://cdn.ampproject.org/rtv/011910071804120/amp4ads-host-v0.js","js","javascript","ampproject.org","Unknown","",""
"57.89","https://cdn.ampproject.org/rtv/011910071804120/amp4ads-v0.js","js","javascript","ampproject.org","Unknown","",""
"57.89","https://cdn.ampproject.org/rtv/011910071804120/v0/amp-analytics-0.1.js","js","javascript","ampproject.org","Unknown","",""
"57.89","https://www.googletagservices.com/activeview/js/current/osd.js","js","javascript","googletagservices.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet "
"52.63","https://connect.facebook.net/en_US/fbevents.js","js","javascript","facebook.net","Facebook","US","Facebook "
"52.63","https://www.facebook.com/tr/","","","facebook.com","Facebook","US","Facebook "
"52.63","https://www.googletagmanager.com/gtm.js","js","javascript","googletagmanager.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet "
"47.37","https://pagead2.googlesyndication.com/pcs/activeview","","","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet "
"42.11","https://bidder.criteo.com/cdb","","","criteo.com","Criteo","FR","Criteo "
"42.11","https://securepubads.g.doubleclick.net/pcs/view","","","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet "
