"Percent Total","Element","Extension","Type","Domain","Owner","Owner Country","Owner Lineage"
"89.47","https://www.google-analytics.com/analytics.js","js","javascript","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet "
"73.68","https://adservice.google.com/adsid/integrator.js","js","javascript","google.com","Google","US","Google > Alphabet "
"68.42","https://securepubads.g.doubleclick.net/gpt/pubads_impl_2019101401.js","js","javascript","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet "
"68.42","https://securepubads.g.doubleclick.net/gpt/pubads_impl_rendering_2019101401.js","js","javascript","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet "
"63.16","https://www.googletagservices.com/tag/js/gpt.js","js","javascript","googletagservices.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet "
"57.89","https://cdn.ampproject.org/rtv/011910071804120/amp4ads-host-v0.js","js","javascript","ampproject.org","Unknown","",""
"57.89","https://cdn.ampproject.org/rtv/011910071804120/amp4ads-v0.js","js","javascript","ampproject.org","Unknown","",""
"57.89","https://cdn.ampproject.org/rtv/011910071804120/v0/amp-analytics-0.1.js","js","javascript","ampproject.org","Unknown","",""
"57.89","https://www.googletagservices.com/activeview/js/current/osd.js","js","javascript","googletagservices.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet "
"52.63","https://connect.facebook.net/en_US/fbevents.js","js","javascript","facebook.net","Facebook","US","Facebook "
"52.63","https://www.googletagmanager.com/gtm.js","js","javascript","googletagmanager.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet "
"31.58","https://cdn.ampproject.org/rtv/011910071804120/v0/amp-ad-exit-0.1.js","js","javascript","ampproject.org","Unknown","",""
"31.58","https://cdn.ampproject.org/rtv/011910071804120/v0/amp-fit-text-0.1.js","js","javascript","ampproject.org","Unknown","",""
"31.58","https://cdn.ampproject.org/rtv/011910071804120/v0/amp-form-0.1.js","js","javascript","ampproject.org","Unknown","",""
"26.32","https://js.adscale.de/userconnect.js","js","javascript","adscale.de","AdScale","DE","AdScale "
"26.32","https://www.google-analytics.com/plugins/ua/ec.js","js","javascript","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet "
"26.32","https://www.googletagservices.com/activeview/js/current/osd_listener.js","js","javascript","googletagservices.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet "
"21.05","https://d31qbv1cthcecs.cloudfront.net/atrk.js","js","javascript","cloudfront.net","Amazon Web Services","US","Amazon Web Services > Amazon "
