"Percent Requests Encrypted","Owner","Owner Country","Owner Lineage"
"100.0","AdScale","DE","AdScale "
"100.0","AddThis","US","AddThis > Oracle "
"100.0","Adobe Audience Manager","US","Adobe Audience Manager > Adobe Systems "
"100.0","Adobe Systems","US","Adobe Systems "
"100.0","Akamai","US","Akamai "
"100.0","Alexa","US","Alexa > Amazon "
"100.0","Amobee","US","Amobee > Singtel "
"100.0","Aol","US","Aol > Oath > Verizon "
"100.0","Avocet","UK","Avocet "
"100.0","Beeswax","US","Beeswax "
"100.0","Bidswitch","UK","Bidswitch > IPONWEB "
"100.0","Blinkx","US","Blinkx > RhythmOne "
"100.0","Cedexis","US","Cedexis > Citrix "
"100.0","Chartbeat","US","Chartbeat "
"100.0","Citrix","US","Citrix "
"100.0","Cloudflare","US","Cloudflare "
"100.0","Comcast","US","Comcast "
"100.0","Conversant Media","US","Conversant Media "
"100.0","DataXu","US","DataXu "
"100.0","Dotomi","US","Dotomi > Conversant Media "
"100.0","DoubleClick","US","DoubleClick > Google > Alphabet "
"100.0","Dynadmic","FR","Dynadmic "
"100.0","Ensighten","US","Ensighten "
"100.0","Eyeota","SG","Eyeota "
"100.0","Eyeview","US","Eyeview "
"100.0","Facebook","US","Facebook "
"100.0","Hotjar","MT","Hotjar "
"100.0","IPONWEB","UK","IPONWEB "
"100.0","Improve Digital","NL","Improve Digital "
"100.0","Instagram","US","Instagram > Facebook "
"100.0","KBM Group","US","KBM Group > Young & Rubicam > WPP "
"100.0","Krux Digital","US","Krux Digital > Salesforce "
"100.0","LiveRamp","US","LiveRamp > Acxiom "
"100.0","Loopme","UK","Loopme "
"100.0","Lotame","US","Lotame "
"100.0","Marimedia","IL","Marimedia "
"100.0","Media Innovation Group","UK","Media Innovation Group > WPP "
"100.0","Media Math","US","Media Math "
"100.0","Microsoft","US","Microsoft "
"100.0","New Relic","US","New Relic "
"100.0","Nielsen Online","US","Nielsen Online "
"100.0","ONE by Aol","US","ONE by Aol > Aol > Oath > Verizon "
"100.0","Oath","US","Oath > Verizon "
"100.0","Optimizely","US","Optimizely "
"100.0","Quantcast","US","Quantcast "
"100.0","Resonate","US","Resonate "
"100.0","RhythmOne","US","RhythmOne "
"100.0","Rocketfuel","US","Rocketfuel > Sizmek > Vector Capital "
"100.0","Salesforce","US","Salesforce "
"100.0","Semasio","DE","Semasio "
"100.0","Sharethrough","US","Sharethrough "
"100.0","Signal Digital","US","Signal Digital "
"100.0","Singtel","SG","Singtel "
"100.0","Sizmek","US","Sizmek > Vector Capital "
"100.0","Smart AdServer","FR","Smart AdServer "
"100.0","Sonobi","US","Sonobi "
"100.0","Spot X Change","US","Spot X Change "
"100.0","StickyADS.tv","US","StickyADS.tv > Comcast "
"100.0","Taboola","US","Taboola "
"100.0","TapAd","US","TapAd "
"100.0","Taptica","US","Taptica > Marimedia "
"100.0","The Trade Desk","US","The Trade Desk "
"100.0","Tremor Video","US","Tremor Video > Taptica > Marimedia "
"100.0","TripleLift","US","TripleLift "
"100.0","TrustArc","US","TrustArc "
"100.0","Tube Mogul","US","Tube Mogul > Adobe Systems "
"100.0","Turn","US","Turn > Amobee > Singtel "
"100.0","Twitter","US","Twitter "
"100.0","Vector Capital","US","Vector Capital "
"100.0","Verizon","US","Verizon "
"100.0","Videology Group","US","Videology Group "
"100.0","WPP","UK","WPP "
"100.0","Webtrekk","DE","Webtrekk "
"100.0","Yahoo","US","Yahoo > Oath > Verizon "
"100.0","Yandex","RU","Yandex "
"100.0","Young & Rubicam","US","Young & Rubicam > WPP "
"100.0","exelate","US","exelate > Nielsen Online "
"100.0","iBehavior","US","iBehavior > KBM Group > Young & Rubicam > WPP "
"100.0","nugg.ad","DE","nugg.ad "
"97.9","Alphabet","US","Alphabet "
"97.9","Google","US","Google > Alphabet "
"97.56","AdSense","US","AdSense > Google > Alphabet "
"96.34","Google Analytics","US","Google Analytics > Google > Alphabet "
"96.0","Google Tag Manager","US","Google Tag Manager > Google > Alphabet "
"95.83","Index Exchange","CA","Index Exchange "
"93.33","Criteo","FR","Criteo "
"91.67","Google APIs","US","Google APIs > Google > Alphabet "
"89.47","Moat","US","Moat > Oracle "
"85.71","ScorecardResearch","US","ScorecardResearch > comScore "
"85.71","comScore","US","comScore "
"84.21","Oracle","US","Oracle "
"83.33","Amazon","US","Amazon "
"83.33","PubMatic","US","PubMatic "
"77.78","Blue Kai","US","Blue Kai > Oracle "
"77.17","Gemius","PL","Gemius "
"75.0","AdForm","DK","AdForm "
"70.0","Amazon Web Services","US","Amazon Web Services > Amazon "
"66.67","Prospect One","US","Prospect One "
"66.67","jsDelivr","US","jsDelivr > Prospect One "
"62.5","OpenX","US","OpenX "
"60.0","Golden Gate Capital","US","Golden Gate Capital "
"60.0","Neustar","US","Neustar > Golden Gate Capital "
"60.0","Neustar Marketing","US","Neustar Marketing > Neustar > Golden Gate Capital "
"50.0","PulsePoint","US","PulsePoint "
"47.06","Rubicon Project","US","Rubicon Project "
"44.44","Sovrn","US","Sovrn "
"8.33","Crownpeak","US","Crownpeak "
"8.33","Evidon","US","Evidon > Crownpeak "
