"Percent Total","Owner","Owner Country","Owner Lineage","Data Transfered (bytes)"
"10.76","Alphabet","US","Alphabet ","6268084"
"10.76","Google","US","Google > Alphabet ","6268084"
"3.55","AdSense","US","AdSense > Google > Alphabet ","2066703"
"3.27","Akamai","US","Akamai ","1906268"
"2.79","DoubleClick","US","DoubleClick > Google > Alphabet ","1624809"
"2.16","Facebook","US","Facebook ","1256439"
"2.14","Google Tag Manager","US","Google Tag Manager > Google > Alphabet ","1245043"
"1.01","Twitter","US","Twitter ","590747"
"0.82","Google Analytics","US","Google Analytics > Google > Alphabet ","476540"
"0.66","Taboola","US","Taboola ","384684"
"0.64","Google APIs","US","Google APIs > Google > Alphabet ","372901"
"0.49","Oracle","US","Oracle ","287785"
"0.43","Criteo","FR","Criteo ","253345"
"0.42","Moat","US","Moat > Oracle ","241783"
"0.4","Hotjar","MT","Hotjar ","235035"
"0.39","Gemius","PL","Gemius ","227838"
"0.33","OpenX","US","OpenX ","195026"
"0.3","Yandex","RU","Yandex ","173122"
"0.21","jsDelivr","US","jsDelivr > Prospect One ","120100"
"0.21","Prospect One","US","Prospect One ","120100"
"0.16","Crownpeak","US","Crownpeak ","90762"
"0.16","Evidon","US","Evidon > Crownpeak ","90762"
"0.16","Optimizely","US","Optimizely ","90651"
"0.11","Amazon","US","Amazon ","61781"
"0.09","Amazon Web Services","US","Amazon Web Services > Amazon ","54179"
"0.08","Blue Kai","US","Blue Kai > Oracle ","45541"
"0.08","Cedexis","US","Cedexis > Citrix ","44055"
"0.08","Citrix","US","Citrix ","44055"
"0.07","Ensighten","US","Ensighten ","42086"
"0.06","Adobe Systems","US","Adobe Systems ","35459"
"0.05","AdScale","DE","AdScale ","31306"
"0.05","Oath","US","Oath > Verizon ","30169"
"0.05","Verizon","US","Verizon ","30169"
"0.05","Index Exchange","CA","Index Exchange ","27268"
"0.04","Chartbeat","US","Chartbeat ","24697"
"0.04","Rubicon Project","US","Rubicon Project ","22806"
"0.04","Aol","US","Aol > Oath > Verizon ","22497"
"0.04","ONE by Aol","US","ONE by Aol > Aol > Oath > Verizon ","22497"
"0.04","TrustArc","US","TrustArc ","20514"
"0.03","Instagram","US","Instagram > Facebook ","15225"
"0.02","Microsoft","US","Microsoft ","14243"
"0.02","Cloudflare","US","Cloudflare ","13013"
"0.02","Golden Gate Capital","US","Golden Gate Capital ","12453"
"0.02","Neustar","US","Neustar > Golden Gate Capital ","12453"
"0.02","Neustar Marketing","US","Neustar Marketing > Neustar > Golden Gate Capital ","12453"
"0.02","PubMatic","US","PubMatic ","11885"
"0.02","WPP","UK","WPP ","11188"
"0.02","Tube Mogul","US","Tube Mogul > Adobe Systems ","10876"
"0.02","New Relic","US","New Relic ","10042"
"0.02","comScore","US","comScore ","9904"
"0.02","ScorecardResearch","US","ScorecardResearch > comScore ","9904"
"0.02","Quantcast","US","Quantcast ","9033"
"0.01","Media Innovation Group","UK","Media Innovation Group > WPP ","8032"
"0.01","Yahoo","US","Yahoo > Oath > Verizon ","7672"
"0.01","Alexa","US","Alexa > Amazon ","7602"
"0.01","Bidswitch","UK","Bidswitch > IPONWEB ","7172"
"0.01","IPONWEB","UK","IPONWEB ","7172"
"0.01","nugg.ad","DE","nugg.ad ","6871"
"0.01","AdForm","DK","AdForm ","5720"
"0.01","Adobe Audience Manager","US","Adobe Audience Manager > Adobe Systems ","4897"
"0.01","Sovrn","US","Sovrn ","4153"
"0.01","iBehavior","US","iBehavior > KBM Group > Young & Rubicam > WPP ","3156"
"0.01","KBM Group","US","KBM Group > Young & Rubicam > WPP ","3156"
"0.01","Young & Rubicam","US","Young & Rubicam > WPP ","3156"
"0.0","Lotame","US","Lotame ","2542"
"0.0","Spot X Change","US","Spot X Change ","1963"
"0.0","Conversant Media","US","Conversant Media ","1711"
"0.0","Dotomi","US","Dotomi > Conversant Media ","1711"
"0.0","The Trade Desk","US","The Trade Desk ","1565"
"0.0","PulsePoint","US","PulsePoint ","1431"
"0.0","Videology Group","US","Videology Group ","1250"
"0.0","Improve Digital","NL","Improve Digital ","1242"
"0.0","Dynadmic","FR","Dynadmic ","1232"
"0.0","Blinkx","US","Blinkx > RhythmOne ","1038"
"0.0","RhythmOne","US","RhythmOne ","1038"
"0.0","Acxiom","US","Acxiom ","998"
"0.0","LiveRamp","US","LiveRamp > Acxiom ","998"
"0.0","Amobee","US","Amobee > Singtel ","969"
"0.0","Singtel","SG","Singtel ","969"
"0.0","Turn","US","Turn > Amobee > Singtel ","969"
"0.0","Eyeview","US","Eyeview ","922"
"0.0","Rocketfuel","US","Rocketfuel > Sizmek > Vector Capital ","816"
"0.0","Sizmek","US","Sizmek > Vector Capital ","816"
"0.0","Vector Capital","US","Vector Capital ","816"
"0.0","Avocet","UK","Avocet ","794"
"0.0","Sonobi","US","Sonobi ","758"
"0.0","Marimedia","IL","Marimedia ","724"
"0.0","Taptica","US","Taptica > Marimedia ","724"
"0.0","Tremor Video","US","Tremor Video > Taptica > Marimedia ","724"
"0.0","TapAd","US","TapAd ","712"
"0.0","Media Math","US","Media Math ","662"
"0.0","Krux Digital","US","Krux Digital > Salesforce ","640"
"0.0","Salesforce","US","Salesforce ","640"
"0.0","Webtrekk","DE","Webtrekk ","634"
"0.0","Semasio","DE","Semasio ","593"
"0.0","AddThis","US","AddThis > Oracle ","461"
"0.0","Smart AdServer","FR","Smart AdServer ","427"
"0.0","Signal Digital","US","Signal Digital ","353"
"0.0","TripleLift","US","TripleLift ","335"
"0.0","Resonate","US","Resonate ","289"
"0.0","Eyeota","SG","Eyeota ","237"
"0.0","Sharethrough","US","Sharethrough ","156"
"0.0","exelate","US","exelate > Nielsen Online ","0"
"0.0","Nielsen Online","US","Nielsen Online ","0"
