"Percent Total","Domain","Data Transfered (bytes)"
"8.47","mncdn.com","4932623"
"5.97","tmgrup.com.tr","3479886"
"5.2","memurlar.net","3029767"
"4.61","haberturk.com","2687344"
"4.44","office365.com","2587608"
"4.26","milimaj.com","2482516"
"4.05","sporx.com","2361546"
"3.72","hepsiburada.net","2167578"
"3.51","yenisafak.com","2043241"
"3.46","googlesyndication.com","2014936"
"3.27","akamaized.net","1906268"
"3.24","doracdn.com","1885484"
"2.78","gazeteaksam.com","1620526"
"2.72","doubleclick.net","1582672"
"2.7","ampproject.org","1572821"
"2.47","donanimhaber.com","1436942"
"2.12","facebook.net","1235686"
"1.85","kizlarsoruyor.com","1078233"
"1.71","cmu.edu","997597"
"1.69","gittigidiyor.net","985600"
"1.29","googletagservices.com","752546"
"1.28","hurimg.com","747477"
"1.11","mynet.com.tr","647126"
"1.11","medyanetads.com","646350"
"1.0","hurriyet.com.tr","579842"
"0.92","fullhdfilmizlesene.net","538015"
"0.86","gittigidiyor.com","503627"
"0.85","twimg.com","496694"
"0.85","haberler.com","494978"
"0.85","googletagmanager.com","492497"
"0.82","admatic.com.tr","479269"
"0.82","google-analytics.com","476540"
"0.8","adocean.pl","468865"
"0.73","trendyol.com","424605"
"0.72","aksam.com.tr","417376"
"0.64","googleapis.com","372901"
"0.63","mynetreklam.com","366002"
"0.6","taboola.com","350634"
"0.59","gstatic.com","345574"
"0.58","dogannet.tv","339179"
"0.49","useinsider.com","286853"
"0.48","piri.net","277572"
"0.47","dsmcdn.com","271747"
"0.42","criteo.net","245045"
"0.42","milliyet.com.tr","242526"
"0.42","moatads.com","241783"
"0.4","hotjar.com","235035"
"0.39","gemius.pl","227838"
"0.38","segmentify.com","223511"
"0.37","vidoplay.com","216593"
"0.33","openx.net","195026"
"0.32","shoofle.tv","185991"
"0.3","yandex.ru","173122"
"0.3","engageya.com","172673"
"0.28","springserve.com","160985"
"0.27","lkqd.net","158154"
"0.24","underdog.media","137028"
"0.23","google.com","136514"
"0.23","vidible.tv","135483"
"0.22","sabah.com.tr","129299"
"0.21","hepsiburada.com","124885"
"0.21","jsdelivr.net","120100"
"0.17","eksisozluk.com","100282"
"0.17","smrpm.com","99309"
"0.16","optimizely.com","90651"
"0.15","evidon.com","89322"
"0.15","twitter.com","88595"
"0.13","mgid.com","75501"
"0.12","mynet.com","71310"
"0.11","n11.com","63449"
"0.1","onesignal.com","57525"
"0.09","cloudfront.net","54121"
"0.09","googleadservices.com","51767"
"0.08","s-onetag.com","49372"
"0.07","acexedge.com","43558"
"0.07","userreport.com","43346"
"0.07","cedexis.com","42507"
"0.07","vertamedia.com","42229"
"0.07","2mdn.net","42137"
"0.07","ensighten.com","42086"
"0.07","oremark.com","40588"
"0.07","bkrtx.com","39896"
"0.06","consensu.org","34816"
"0.06","perfectmarket.com","34050"
"0.06","departapp.com","33045"
"0.05","adscale.de","31306"
"0.05","casalemedia.com","27268"
"0.04","dimml.io","25752"
"0.04","adrecover.com","24753"
"0.04","districtm.ca","23878"
"0.04","chartbeat.com","23857"
"0.04","rubiconproject.com","22806"
"0.04","advertising.com","22497"
"0.04","elasticad.net","22441"
"0.03","everesttech.net","19098"
"0.03","onthe.io","18971"
"0.03","msecnd.net","18386"
"0.03","appdynamics.com","18071"
"0.03","trustarc.com","16040"
"0.03","instagram.com","15225"
