"Page Domain","3P Element Domain","3P Domain Owner","3P Domain Owner Country"
"aksam.com.tr","alexametrics.com","Alexa","US"
"aksam.com.tr","amazonaws.com","Amazon Web Services","US"
"aksam.com.tr","ampproject.org","Unknown",""
"aksam.com.tr","cloudfront.net","Amazon Web Services","US"
"aksam.com.tr","criteo.com","Criteo","FR"
"aksam.com.tr","doubleclick.net","DoubleClick","US"
"aksam.com.tr","gazeteaksam.com","Unknown",""
"aksam.com.tr","gemius.pl","Gemius","PL"
"aksam.com.tr","google-analytics.com","Google Analytics","US"
"aksam.com.tr","google.com","Google","US"
"aksam.com.tr","googleadservices.com","AdSense","US"
"aksam.com.tr","googlesyndication.com","AdSense","US"
"aksam.com.tr","googletagmanager.com","Google Tag Manager","US"
"aksam.com.tr","googletagservices.com","Google Tag Manager","US"
"aksam.com.tr","ilan.gov.tr","Unknown",""
"aksam.com.tr","onesignal.com","Unknown",""
"aksam.com.tr","os.tc","Unknown",""
"aksam.com.tr","scorecardresearch.com","ScorecardResearch","US"
"aksam.com.tr","star.com.tr","Unknown",""
"donanimhaber.com","ampproject.org","Unknown",""
"donanimhaber.com","bkrtx.com","Blue Kai","US"
"donanimhaber.com","bluekai.com","Blue Kai","US"
"donanimhaber.com","doubleclick.net","DoubleClick","US"
"donanimhaber.com","gemius.pl","Gemius","PL"
"donanimhaber.com","google-analytics.com","Google Analytics","US"
"donanimhaber.com","google.com","Google","US"
"donanimhaber.com","googlesyndication.com","AdSense","US"
"donanimhaber.com","googletagmanager.com","Google Tag Manager","US"
"donanimhaber.com","googletagservices.com","Google Tag Manager","US"
"donanimhaber.com","gstatic.com","Google","US"
"eksisozluk.com","cmu.edu","Unknown",""
"eksisozluk.com","google-analytics.com","Google Analytics","US"
"eksisozluk.com","googleapis.com","Google APIs","US"
"fullhdfilmizlesene.net","google-analytics.com","Google Analytics","US"
"gittigidiyor.com","ampproject.org","Unknown",""
"gittigidiyor.com","cloudfront.net","Amazon Web Services","US"
"gittigidiyor.com","doubleclick.net","DoubleClick","US"
"gittigidiyor.com","facebook.com","Facebook","US"
"gittigidiyor.com","facebook.net","Facebook","US"
"gittigidiyor.com","gittigidiyor.net","Unknown",""
"gittigidiyor.com","google-analytics.com","Google Analytics","US"
"gittigidiyor.com","google.com","Google","US"
"gittigidiyor.com","googlesyndication.com","AdSense","US"
"gittigidiyor.com","googletagmanager.com","Google Tag Manager","US"
"gittigidiyor.com","googletagservices.com","Google Tag Manager","US"
"gittigidiyor.com","newrelic.com","New Relic","US"
"gittigidiyor.com","nr-data.net","New Relic","US"
"gittigidiyor.com","segmentify.com","Unknown",""
"gittigidiyor.com","webinstats.com","Unknown",""
"haberler.com","254a.com","Unknown",""
"haberler.com","acexedge.com","Unknown",""
"haberler.com","adform.net","AdForm","DK"
"haberler.com","admatic.com.tr","Unknown",""
"haberler.com","adocean.pl","Unknown",""
"haberler.com","adscale.de","AdScale","DE"
"haberler.com","ampproject.org","Unknown",""
"haberler.com","bidswitch.net","Bidswitch","UK"
"haberler.com","casalemedia.com","Index Exchange","CA"
"haberler.com","cloudfront.net","Amazon Web Services","US"
"haberler.com","connectad.io","Unknown",""
"haberler.com","creativecdn.com","Unknown",""
"haberler.com","criteo.com","Criteo","FR"
"haberler.com","criteo.net","Criteo","FR"
"haberler.com","crwdcntrl.net","Lotame","US"
"haberler.com","demdex.net","Adobe Audience Manager","US"
"haberler.com","doubleclick.net","DoubleClick","US"
"haberler.com","elasticad.net","Unknown",""
"haberler.com","engageya.com","Unknown",""
"haberler.com","everesttech.net","Adobe Systems","US"
"haberler.com","gemius.pl","Gemius","PL"
"haberler.com","google-analytics.com","Google Analytics","US"
"haberler.com","google.com","Google","US"
"haberler.com","googleapis.com","Google APIs","US"
"haberler.com","googlesyndication.com","AdSense","US"
"haberler.com","googletagservices.com","Google Tag Manager","US"
"haberler.com","gstatic.com","Google","US"
"haberler.com","ib-ibi.com","iBehavior","US"
"haberler.com","moatads.com","Moat","US"
"haberler.com","mookie1.com","Media Innovation Group","UK"
"haberler.com","nuggad.net","nugg.ad","DE"
"haberler.com","openx.net","OpenX","US"
"haberler.com","prebid.org","Unknown",""
"haberler.com","quantserve.com","Quantcast","US"
"haberler.com","scorecardresearch.com","ScorecardResearch","US"
"haberler.com","tubemogul.com","Tube Mogul","US"
"haberler.com","userreport.com","Unknown",""
"haberler.com","yandex.ru","Yandex","RU"
"haberler.com","yenimedya.com.tr","Unknown",""
"haberturk.com","ampproject.org","Unknown",""
"haberturk.com","ciner.com.tr","Unknown",""
"haberturk.com","criteo.com","Criteo","FR"
"haberturk.com","criteo.net","Criteo","FR"
"haberturk.com","doubleclick.net","DoubleClick","US"
"haberturk.com","facebook.com","Facebook","US"
"haberturk.com","facebook.net","Facebook","US"
"haberturk.com","gemius.pl","Gemius","PL"
"haberturk.com","gez.io","Unknown",""
"haberturk.com","google-analytics.com","Google Analytics","US"
"haberturk.com","google.com","Google","US"
"haberturk.com","googlesyndication.com","AdSense","US"
"haberturk.com","googletagmanager.com","Google Tag Manager","US"
"haberturk.com","googletagservices.com","Google Tag Manager","US"
"haberturk.com","gstatic.com","Google","US"
"haberturk.com","scorecardresearch.com","ScorecardResearch","US"
"hepsiburada.com","cedexis-radar.net","Cedexis","US"
"hepsiburada.com","cedexis.com","Cedexis","US"
"hepsiburada.com","doubleclick.net","DoubleClick","US"
"hepsiburada.com","ensighten.com","Ensighten","US"
"hepsiburada.com","facebook.com","Facebook","US"
"hepsiburada.com","facebook.net","Facebook","US"
"hepsiburada.com","google-analytics.com","Google Analytics","US"
"hepsiburada.com","google.com","Google","US"
"hepsiburada.com","googleadservices.com","AdSense","US"
"hepsiburada.com","googlesyndication.com","AdSense","US"
"hepsiburada.com","googletagservices.com","Google Tag Manager","US"
"hepsiburada.com","hepsiburada.net","Unknown",""
"hepsiburada.com","hotjar.com","Hotjar","MT"
"hepsiburada.com","igodigital.com","Unknown",""
"hepsiburada.com","webtrekk.net","Webtrekk","DE"
"hurriyet.com.tr","adform.net","AdForm","DK"
"hurriyet.com.tr","adnxs.com","AppNexus","US"
"hurriyet.com.tr","adscale.de","AdScale","DE"
"hurriyet.com.tr","agkn.com","Neustar Marketing","US"
"hurriyet.com.tr","ampproject.org","Unknown",""
"hurriyet.com.tr","betrad.com","Evidon","US"
"hurriyet.com.tr","bkrtx.com","Blue Kai","US"
"hurriyet.com.tr","bluekai.com","Blue Kai","US"
"hurriyet.com.tr","casalemedia.com","Index Exchange","CA"
"hurriyet.com.tr","consensu.org","Unknown",""
"hurriyet.com.tr","criteo.com","Criteo","FR"
